"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
663,1,"CDC Asterix AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.010753,93,0.0110474251946088,90.5188297168107
1265,1,"CDC Asterix AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.012048,83,0.0100628089747585,99.3758305964466
1927,1,"CDC Asterix AGL","3","Bhopal, India 2017","In17",20.6,10.7,0.013889,72,0.0100628089747585,99.3758305964466
5255,1,"CDC Asterix AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00946027101498835,105.705216945228
5684,1,"CDC Asterix AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00946027101498835,105.705216945228
6045,1,"CDC Asterix AGL","3","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00946027101498835,105.705216945228
5075,2,"CDC Rosie AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0187496400698978,53.3343571541665
5446,2,"CDC Rosie AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0187496400698978,53.3343571541665
5690,2,"CDC Rosie AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0187496400698978,53.3343571541665
1245,2,"CDC Rosie AGL","1","Metaponto, Italy 2016","It16",10.6,10.8,0.007812,128,0.00732133447045607,136.587121382764
1643,2,"CDC Rosie AGL","2","Metaponto, Italy 2016","It16",10.6,10.8,0.007812,128,0.00732133447045607,136.587121382764
1840,2,"CDC Rosie AGL","3","Metaponto, Italy 2016","It16",10.6,10.8,0.007812,128,0.00732133447045607,136.587121382764
1113,2,"CDC Rosie AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018868,53,0.0187777275376512,53.2545803529689
1504,2,"CDC Rosie AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.2,0.019231,52,0.0187777275376512,53.2545803529689
1975,2,"CDC Rosie AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.2,0.019231,52,0.0187777275376512,53.2545803529689
314,2,"CDC Rosie AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0180942651813956,55.2661293495463
