"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
3,"3156-11 AGL","Central Ferry, USA 2018","Us18",71.5,0.0139925,15.8,14.3,0.0144468298231742,69.2193382381994
3,"3156-11 AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.00969124632281076,103.18590268893
3,"3156-11 AGL","Bhopal, India 2017","In17",NA,0.011765,20.6,10.7,0.0104425362741665,95.7621763281658
3,"3156-11 AGL","Jessore, Bangladesh 2016","Ba16",90.6666666666667,0.0110296666666667,18.6,10.8,0.0098887661696938,101.124850445419
3,"3156-11 AGL","Jessore, Bangladesh 2017","Ba17",88,0.011364,21.7,11,0.011310602789635,88.4126176649401
3,"3156-11 AGL","Bardiya, Nepal 2016","Ne16",122.333333333333,0.00817466666666667,19.2,11,0.0104199771456608,95.9695003185712
3,"3156-11 AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00798333333333333,19.4,10.8,0.0101737663757655,98.2920152739162
3,"3156-11 AGL","Cordoba, Spain 2016","Sp16",120,0.00834966666666667,12.5,10.9,0.00787437000910352,126.994286380232
3,"3156-11 AGL","Cordoba, Spain 2017","Sp17",130.333333333333,0.00767266666666667,11.7,11.1,0.00790683062444501,126.472925435935
3,"3156-11 AGL","Marchouch, Morocco 2016","Mo16",129.333333333333,0.007732,12,10.8,0.00753751446960208,132.669728732579
3,"3156-11 AGL","Marchouch, Morocco 2017","Mo17",127,0.007874,11.8,11.5,0.00857737729303043,116.585754110706
3,"3156-11 AGL","Metaponto, Italy 2016","It16",134,0.007463,10.6,10.8,0.00703876410897656,142.070395387266
3,"3156-11 AGL","Metaponto, Italy 2017","It17",145.666666666667,0.006865,11.2,10.8,0.00725251426353035,137.883217276601
4,"CDC Greenstar AGL","Rosthern, Canada 2016","Ro16",50.6666666666667,0.0197586666666667,17.2,16.2,0.0193429649160835,51.6983825560533
4,"CDC Greenstar AGL","Rosthern, Canada 2017","Ro17",50.6666666666667,0.019749,17.5,16.4,0.0198095940551229,50.4805902239775
4,"CDC Greenstar AGL","Sutherland, Canada 2016","Su16",56,0.017857,16.7,15.9,0.0186215539658767,53.7012110714531
4,"CDC Greenstar AGL","Sutherland, Canada 2017","Su17",56.6666666666667,0.0176516666666667,15.7,16.1,0.0185300348220799,53.966439329538
4,"CDC Greenstar AGL","Sutherland, Canada 2018","Su18",50,0.02,17.6,16.1,0.0193457900046868,51.6908329800818
4,"CDC Greenstar AGL","Central Ferry, USA 2018","Us18",59.6666666666667,0.0167766666666667,15.8,14.3,0.0155325381029875,64.3809783932006
4,"CDC Greenstar AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.0105623220866784,94.6761509253007
4,"CDC Greenstar AGL","Bhopal, India 2017","In17",68,0.014706,20.6,10.7,0.0115125308963772,86.8618732927511
4,"CDC Greenstar AGL","Jessore, Bangladesh 2016","Ba16",85.6666666666667,0.0116756666666667,18.6,10.8,0.0108227540750523,92.3979232148604
4,"CDC Greenstar AGL","Jessore, Bangladesh 2017","Ba17",80.3333333333333,0.0124486666666667,21.7,11,0.0124915487463546,80.0541246170001
4,"CDC Greenstar AGL","Bardiya, Nepal 2016","Ne16",118,0.008507,19.2,11,0.0114181866639771,87.579580666243
4,"CDC Greenstar AGL","Bardiya, Nepal 2017","Ne17",121,0.00827033333333333,19.4,10.8,0.0111662299414131,89.5557413063132
