Entry,Name,Origin,Source,Lat,Lon,Synonyms
89,ILL 5209 AGL,Jordan,ICARDA,NA,NA,IG 5209
90,ILL 5480 AGL,Czech Republic,ICARDA,NA,NA,IG 5480;LENKA
91,ILL 5639 AGL,Ethiopia,ICARDA,NA,NA,IG 5639
92,ILL 5722 AGL,Turkey,ICARDA,NA,NA,IG 5722;PI 631395;FLIP 84-51L;AL DAYI
93,ILL 5883 AGL,Jordan,ICARDA,NA,NA,IG 69492;PI 631396;IDLIB-2
94,ILL 5888 AGL,Bangladesh,ICARDA,NA,NA,IG 69497;BARIMASUR-1
95,ILL 5945 AGL,Ethiopia,ICARDA,NA,NA,IG 69554
96,ILL 6002 AGL,ICARDA,ICARDA,NA,NA,
97,ILL 618 AGL,Tajikistan,ICARDA,NA,NA,IG 618;PI 345637;VIR 1834;TADZHIKSKAYA 95
98,ILL 6182 AGL,Tunisia,ICARDA,NA,NA,IG 70237;MEDAHIA
99,ILL 6211 AGL,ICARDA,ICARDA,NA,NA,IG 71143;FLIP 87-21L
100,ILL 624 AGL,Macedonia,ICARDA,NA,NA,IG 624;PI 357226;LOKALNA SITNA
101,ILL 6821 AGL,Ethiopia,ICARDA,NA,NA,IG 73685;FLIP 89-63L;ALEMAYA
102,ILL 6853 AGL,Syria,ICARDA,NA,NA,IG 73717
103,ILL 7089 AGL,Russia,ICARDA,NA,NA,IG 73953
104,ILL 7558 AGL,India,ICARDA,NA,NA,IG 76277
105,ILL 7663 AGL,ICARDA,ICARDA,NA,NA,IG 114665;FLIP 95-7L
106,ILL 7668 AGL,ICARDA,ICARDA,NA,NA,IG 114670;FLIP 95-12L
107,ILL 7716 AGL,India,ICARDA,NA,NA,IG 114718;FLIP 95-60L
108,ILL 7747 AGL,Syria,ICARDA,NA,NA,IG 114393
109,ILL 7946 AGL,Syria,ICARDA,NA,NA,
110,ILL 7978 AGL,Ethiopia,ICARDA,NA,NA,PI 644221;FLIP 96-46L;TESHALE
111,ILL 7979 AGL,ICARDA,ICARDA,NA,NA,FLIP 96-47L
112,ILL 8007 AGL,Bangladesh,ICARDA,NA,NA,PI 605355;BARIMASUR-2
113,ILL 8009 AGL,Bangladesh,ICARDA,NA,NA,
114,ILL 8010 AGL,Bangladesh,ICARDA,NA,NA,
115,ILL 8072 AGL,India,ICARDA,NA,NA,
116,ILL 8174 AGL,ICARDA,ICARDA,NA,NA,
117,ILL 8595 AGL,Ecuador,ICARDA,NA,NA,IG 123846
118,ILL 9 AGL,Jordan,ICARDA,NA,NA,IG 9
119,ILL 975 AGL,Chile,ICARDA,NA,NA,IG 975
120,ILL 9888 AGL,ICARDA,ICARDA,NA,NA,FLIP 2002-58L
121,ILL 9932 AGL,ICARDA,ICARDA,NA,NA,FLIP 2003-43L
122,ILL 9945 AGL,ICARDA,ICARDA,NA,NA,FLIP 2003-56L
123,ILL 9977 AGL,Jordan,ICARDA,NA,NA,FLIP 2004-24L
124,ILL 9997 AGL,ICARDA,ICARDA,NA,NA,FLIP 2004-44L
125,ILWL 118 AGL,Syria,ICARDA,NA,NA,IG 72641
126,Indianhead AGL,Canada,USASK,52.137,-106.622,
127,IPL 220 AGL,India,ICARDA,NA,NA,ILL 11559
128,Laird AGL,Canada,USASK,52.137,-106.622,IG 600;ILL 600;PI 343028;VIR 2047;PETROV'S JUBILEE
129,LIRL-22-46 AGL,India,ICARDA,NA,NA,
130,PI 163589 AGL,Guatemala,USDA,NA,NA,IG 106;ILL 106
131,PI 169534 LSP AGL,Turkey,USDA,41.66666667,26.56666667,IG 115;ILL 115
132,PI 175754 LSP AGL,Turkey,USDA,39.74194444,39.4925,IG 137;ILL 137
133,PI 177430 LSP AGL,Turkey,USDA,NA,NA,IG 151;ILL 151
134,PI 178939 LSP AGL,Turkey,USDA,NA,NA,IG 162ILL 162
135,PI 178952 AGL,Turkey,USDA,NA,NA,IG 167;ILL 167
136,PI 178971 LSP AGL,Turkey,USDA,NA,NA,IG 173;ILL 173
137,PI 179324 LSP AGL,Turkey,USDA,NA,NA,IG 185;ILL 185
138,PI 179330 AGL,Turkey,USDA,NA,NA,IG 186;ILL 186
139,PI 181771 LSP AGL,Lebanon,USDA,NA,NA,IG 191;ILL 191
140,PI 181886 LSP AGL,Syria,USDA,NA,NA,IG 192;ILL 192
141,PI 182217 LSP AGL,Turkey,USDA,NA,NA,IG 196;ILL 196
142,PI 193546 AGL,Ethiopia,USDA,NA,NA,IG 203;ILL 203
143,PI 193547 LSP AGL,Ethiopia,USDA,NA,NA,IG 204;ILL 204
144,PI 193548 LSP AGL,Ethiopia,USDA,NA,NA,IG 205;ILL 205
145,PI 193550 AGL,Ethiopia,USDA,NA,NA,IG 207;ILL 207
146,PI 207492 LSP AGL,Afghanistan,USDA,NA,NA,IG 209;ILL 209
147,PI 518731 LSP AGL,Brazil,USDA,NA,NA,CNPH 84-021
148,PI 209858 LSP AGL,Greece,USDA,NA,NA,IG 211;ILL 211
149,PI 211052 LSP AGL,Afghanistan,USDA,NA,NA,IG 212;ILL 212
150,PI 212100 LSP AGL,Afghanistan,USDA,NA,NA,IG 215;ILL 215
151,PI 212610 LSP AGL,Afghanistan,USDA,NA,NA,IG 217;ILL 217
152,PI 217949 LSP AGL,Pakistan,USDA,NA,NA,IG 222;ILL 222
153,PI 238758 LSP AGL,Belgium,USDA,NA,NA,IG 224;ILL 224
154,PI 244046 AGL,Yemen,USDA,NA,NA,IG 225;ILL 225
155,PI 250156 LSP AGL,Pakistan,USDA,NA,NA,IG 229;ILL 229
156,PI 250158 LSP AGL,Pakistan,USDA,NA,NA,IG 231;ILL 231
