"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
4,"CDC Greenstar AGL","Rosthern, Canada 2016","Ro16",50.6666666666667,0.0197586666666667,17.2,16.2,53.8963505391969
4,"CDC Greenstar AGL","Rosthern, Canada 2017","Ro17",50.6666666666667,0.019749,17.5,16.4,52.6211875714527
4,"CDC Greenstar AGL","Sutherland, Canada 2016","Su16",56,0.017857,16.7,15.9,56.000448003584
4,"CDC Greenstar AGL","Sutherland, Canada 2017","Su17",56.6666666666667,0.0176516666666667,15.7,16.1,56.4449657123019
4,"CDC Greenstar AGL","Sutherland, Canada 2018","Su18",50,0.02,17.6,16.1,53.8240874784434
4,"CDC Greenstar AGL","Central Ferry, USA 2018","Us18",59.6666666666667,0.0167766666666667,15.8,14.3,66.9294982697092
4,"CDC Greenstar AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,95.8735080121853
4,"CDC Greenstar AGL","Bhopal, India 2017","In17",68,0.014706,20.6,10.7,87.1147490922194
4,"CDC Greenstar AGL","Jessore, Bangladesh 2016","Ba16",85.6666666666667,0.0116756666666667,18.6,10.8,93.2162552543216
4,"CDC Greenstar AGL","Jessore, Bangladesh 2017","Ba17",80.3333333333333,0.0124486666666667,21.7,11,80.3298880736893
4,"CDC Greenstar AGL","Bardiya, Nepal 2016","Ne16",118,0.008507,19.2,11,88.3893993469512
4,"CDC Greenstar AGL","Bardiya, Nepal 2017","Ne17",121,0.00827033333333333,19.4,10.8,90.1634199903568
4,"CDC Greenstar AGL","Cordoba, Spain 2016","Sp16",111,0.00901066666666667,12.5,10.9,123.231310963821
4,"CDC Greenstar AGL","Cordoba, Spain 2017","Sp17",124,0.008065,11.7,11.1,123.992560446373
4,"CDC Greenstar AGL","Marchouch, Morocco 2016","Mo16",119.666666666667,0.00835666666666667,12,10.8,129.347737497381
4,"CDC Greenstar AGL","Marchouch, Morocco 2017","Mo17",116.333333333333,0.00859666666666667,11.8,11.5,114.452860186415
4,"CDC Greenstar AGL","Metaponto, Italy 2016","It16",129.333333333333,0.007735,10.6,10.8,140.935472127439
4,"CDC Greenstar AGL","Metaponto, Italy 2017","It17",138.666666666667,0.00721133333333333,11.2,10.8,135.724472045796
5,"CDC Cherie AGL","Rosthern, Canada 2016","Ro16",49,0.0204136666666667,17.2,16.2,48.9915246177613
5,"CDC Cherie AGL","Rosthern, Canada 2017","Ro17",47.6666666666667,0.020981,17.5,16.4,47.7958677709678
5,"CDC Cherie AGL","Sutherland, Canada 2016","Su16",51,0.019628,16.7,15.9,50.9476258406358
5,"CDC Cherie AGL","Sutherland, Canada 2017","Su17",54.3333333333333,0.0184106666666667,15.7,16.1,50.8216853581607
5,"CDC Cherie AGL","Sutherland, Canada 2018","Su18",47.6666666666667,0.0209873333333333,17.6,16.1,49.1356132152052
5,"CDC Cherie AGL","Central Ferry, USA 2018","Us18",61,0.0163963333333333,15.8,14.3,62.2040846416922
5,"CDC Cherie AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,101.546982079177
5,"CDC Cherie AGL","Bhopal, India 2017","In17",67.3333333333333,0.0149326666666667,20.6,10.7,95.149717950405
5,"CDC Cherie AGL","Jessore, Bangladesh 2016","Ba16",97.5,0.0102565,18.6,10.8,99.989780425947
5,"CDC Cherie AGL","Jessore, Bangladesh 2017","Ba17",87,0.0115066666666667,21.7,11,86.9061413673233
5,"CDC Cherie AGL","Bardiya, Nepal 2016","Ne16",122.5,0.0081635,19.2,11,94.1774850760241
5,"CDC Cherie AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00797966666666667,19.4,10.8,97.2259901469778
5,"CDC Cherie AGL","Cordoba, Spain 2016","Sp16",112.333333333333,0.008906,12.5,10.9,124.451066020461
5,"CDC Cherie AGL","Cordoba, Spain 2017","Sp17",122.666666666667,0.008155,11.7,11.1,122.624156958921
5,"CDC Cherie AGL","Marchouch, Morocco 2016","Mo16",121,0.008264,12,10.8,130.623338070517
5,"CDC Cherie AGL","Marchouch, Morocco 2017","Mo17",117,0.008547,11.8,11.5,111.129009713202
5,"CDC Cherie AGL","Metaponto, Italy 2016","It16",126.333333333333,0.00792266666666667,10.6,10.8,139.702149831737
5,"CDC Cherie AGL","Metaponto, Italy 2017","It17",136.666666666667,0.00731966666666667,11.2,10.8,135.661167074839
6,"CDC Glamis AGL","Rosthern, Canada 2016","Ro16",52,0.0192633333333333,17.2,16.2,53.8612510850683
6,"CDC Glamis AGL","Rosthern, Canada 2017","Ro17",50,0.0200053333333333,17.5,16.4,52.5630251262965
6,"CDC Glamis AGL","Sutherland, Canada 2016","Su16",56,0.017857,16.7,15.9,56.0004480035841
6,"CDC Glamis AGL","Sutherland, Canada 2017","Su17",59,0.0169593333333333,15.7,16.1,56.3079275060395
6,"CDC Glamis AGL","Sutherland, Canada 2018","Su18",50,0.0200053333333333,17.6,16.1,53.8439050980857
6,"CDC Glamis AGL","Central Ferry, USA 2018","Us18",63.3333333333333,0.0158033333333333,15.8,14.3,67.4301555320796
6,"CDC Glamis AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,100.138906772612
6,"CDC Glamis AGL","Bhopal, India 2017","In17",76,0.0131675,20.6,10.7,91.4149482766369
6,"CDC Glamis AGL","Jessore, Bangladesh 2016","Ba16",83.6666666666667,0.011955,18.6,10.8,97.5728102896008
6,"CDC Glamis AGL","Jessore, Bangladesh 2017","Ba17",84,0.011905,21.7,11,83.9983200335994
6,"CDC Glamis AGL","Bardiya, Nepal 2016","Ne16",127,0.007883,19.2,11,92.288063712381
6,"CDC Glamis AGL","Bardiya, Nepal 2017","Ne17",123,0.00813433333333333,19.4,10.8,94.4202113295649
6,"CDC Glamis AGL","Cordoba, Spain 2016","Sp16",115,0.00870133333333333,12.5,10.9,128.129088462718
6,"CDC Glamis AGL","Cordoba, Spain 2017","Sp17",128.333333333333,0.00779266666666667,11.7,11.1,128.325776370947
6,"CDC Glamis AGL","Marchouch, Morocco 2016","Mo16",128,0.007812,12,10.8,134.668533120088
6,"CDC Glamis AGL","Marchouch, Morocco 2017","Mo17",120.666666666667,0.00828766666666667,11.8,11.5,117.703715543886
6,"CDC Glamis AGL","Metaponto, Italy 2016","It16",131,0.00763733333333333,10.6,10.8,146.481586293093
6,"CDC Glamis AGL","Metaponto, Italy 2017","It17",141,0.00709633333333333,11.2,10.8,141.174272070766
7,"CDC Gold AGL","Rosthern, Canada 2016","Ro16",49.5,0.020204,17.2,16.2,51.8471860670255
7,"CDC Gold AGL","Rosthern, Canada 2017","Ro17",51,0.019608,17.5,16.4,50.5688259585472
7,"CDC Gold AGL","Sutherland, Canada 2016","Su16",54,0.0185356666666667,16.7,15.9,53.9500422608665
7,"CDC Gold AGL","Sutherland, Canada 2017","Su17",54,0.018531,15.7,16.1,54.076060152797
7,"CDC Gold AGL","Sutherland, Canada 2018","Su18",47,0.021277,17.6,16.1,51.8989336502666
7,"CDC Gold AGL","Central Ferry, USA 2018","Us18",58.5,0.0171055,15.8,14.3,65.5846716388923
7,"CDC Gold AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,102.293352996905
7,"CDC Gold AGL","Bhopal, India 2017","In17",73,0.0137216666666667,20.6,10.7,94.0240443455908
7,"CDC Gold AGL","Jessore, Bangladesh 2016","Ba16",NA,0.009615,18.6,10.8,99.9845240449071
7,"CDC Gold AGL","Jessore, Bangladesh 2017","Ba17",86,0.0116323333333333,21.7,11,85.9672751239362
7,"CDC Gold AGL","Bardiya, Nepal 2016","Ne16",125,0.0080045,19.2,11,94.2363768930461
7,"CDC Gold AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00798766666666667,19.4,10.8,96.8224966079353
7,"CDC Gold AGL","Cordoba, Spain 2016","Sp16",118.333333333333,0.008451,12.5,10.9,129.979217975702
7,"CDC Gold AGL","Cordoba, Spain 2017","Sp17",129.333333333333,0.007732,11.7,11.1,129.332643559234
7,"CDC Gold AGL","Marchouch, Morocco 2016","Mo16",129.666666666667,0.007712,12,10.8,136.857932069874
7,"CDC Gold AGL","Marchouch, Morocco 2017","Mo17",125.666666666667,0.007958,11.8,11.5,117.605352309303
7,"CDC Gold AGL","Metaponto, Italy 2016","It16",139.666666666667,0.007179,10.6,10.8,148.47271930112
7,"CDC Gold AGL","Metaponto, Italy 2017","It17",147.666666666667,0.006773,11.2,10.8,143.262025111618
8,"CDC Imax AGL","Rosthern, Canada 2016","Ro16",46.6666666666667,0.021499,17.2,16.2,50.9529176130894
8,"CDC Imax AGL","Rosthern, Canada 2017","Ro17",46.3333333333333,0.021585,17.5,16.4,49.7221770792697
8,"CDC Imax AGL","Sutherland, Canada 2016","Su16",53,0.018882,16.7,15.9,52.9604914733609
8,"CDC Imax AGL","Sutherland, Canada 2017","Su17",53,0.0188726666666667,15.7,16.1,52.7133002938685
8,"CDC Imax AGL","Sutherland, Canada 2018","Su18",46,0.021746,17.6,16.1,51.147933279697
8,"CDC Imax AGL","Central Ferry, USA 2018","Us18",57.3333333333333,0.0174773333333333,15.8,14.3,64.7079566700224
8,"CDC Imax AGL","Bhopal, India 2016","In16",83,0.012048,17.6,10.9,107.479564182851
8,"CDC Imax AGL","Bhopal, India 2017","In17",NA,0.011765,20.6,10.7,101.763614495872
8,"CDC Imax AGL","Jessore, Bangladesh 2016","Ba16",NA,0.009615,18.6,10.8,106.240476508763
8,"CDC Imax AGL","Jessore, Bangladesh 2017","Ba17",93,0.010754,21.7,11,92.9886553840432
8,"CDC Imax AGL","Bardiya, Nepal 2016","Ne16",123.333333333333,0.00811633333333333,19.2,11,100.099411442979
8,"CDC Imax AGL","Bardiya, Nepal 2017","Ne17",128.666666666667,0.00777666666666667,19.4,10.8,103.551115777151
8,"CDC Imax AGL","Cordoba, Spain 2016","Sp16",118.666666666667,0.008427,12.5,10.9,129.10431490223
8,"CDC Imax AGL","Cordoba, Spain 2017","Sp17",126.666666666667,0.00789533333333333,11.7,11.1,126.657097019336
8,"CDC Imax AGL","Marchouch, Morocco 2016","Mo16",127.333333333333,0.00785366666666667,12,10.8,135.211331687206
8,"CDC Imax AGL","Marchouch, Morocco 2017","Mo17",120.666666666667,0.00828766666666667,11.8,11.5,114.756224495922
8,"CDC Imax AGL","Metaponto, Italy 2016","It16",129.333333333333,0.007735,10.6,10.8,143.512620016497
8,"CDC Imax AGL","Metaponto, Italy 2017","It17",138.666666666667,0.00721133333333333,11.2,10.8,139.833311004853
9,"CDC Impower AGL","Rosthern, Canada 2016","Ro16",48.3333333333333,0.0206913333333333,17.2,16.2,52.2278648258145
9,"CDC Impower AGL","Rosthern, Canada 2017","Ro17",48.6666666666667,0.0205496666666667,17.5,16.4,50.9493113810131
9,"CDC Impower AGL","Sutherland, Canada 2016","Su16",54.3333333333333,0.0184066666666667,16.7,15.9,54.3281419775444
9,"CDC Impower AGL","Sutherland, Canada 2017","Su17",57,0.0175546666666667,15.7,16.1,54.4046530598448
9,"CDC Impower AGL","Sutherland, Canada 2018","Su18",48.3333333333333,0.0206976666666667,17.6,16.1,52.2989060693531
9,"CDC Impower AGL","Central Ferry, USA 2018","Us18",61,0.0163963333333333,15.8,14.3,66.0193581281292
9,"CDC Impower AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,103.449970485119
9,"CDC Impower AGL","Bhopal, India 2017","In17",70,0.014286,20.6,10.7,95.4979973118266
9,"CDC Impower AGL","Jessore, Bangladesh 2016","Ba16",84,0.011906,18.6,10.8,101.273938444489
9,"CDC Impower AGL","Jessore, Bangladesh 2017","Ba17",87.6666666666667,0.0114453333333333,21.7,11,87.3718546132339
9,"CDC Impower AGL","Bardiya, Nepal 2016","Ne16",118,0.00852266666666667,19.2,11,95.4968791226102
9,"CDC Impower AGL","Bardiya, Nepal 2017","Ne17",123.333333333333,0.008114,19.4,10.8,98.1756945211782
9,"CDC Impower AGL","Cordoba, Spain 2016","Sp16",116.666666666667,0.008574,12.5,10.9,130.20862231295
9,"CDC Impower AGL","Cordoba, Spain 2017","Sp17",129.333333333333,0.007732,11.7,11.1,129.332643559234
9,"CDC Impower AGL","Marchouch, Morocco 2016","Mo16",128.333333333333,0.007792,12,10.8,136.92232049512
9,"CDC Impower AGL","Marchouch, Morocco 2017","Mo17",122.333333333333,0.00817466666666667,11.8,11.5,117.671850072573
9,"CDC Impower AGL","Metaponto, Italy 2016","It16",134.666666666667,0.00742566666666667,10.6,10.8,147.970792619839
9,"CDC Impower AGL","Metaponto, Italy 2017","It17",143.333333333333,0.00698133333333333,11.2,10.8,143.024700119964
10,"CDC KR-1 AGL","Rosthern, Canada 2016","Ro16",50.3333333333333,0.0198796666666667,17.2,16.2,53.495421150424
10,"CDC KR-1 AGL","Rosthern, Canada 2017","Ro17",49.6666666666667,0.0201413333333333,17.5,16.4,52.1921188523092
10,"CDC KR-1 AGL","Sutherland, Canada 2016","Su16",55.6666666666667,0.0179653333333333,16.7,15.9,55.6627579041116
10,"CDC KR-1 AGL","Sutherland, Canada 2017","Su17",57,0.0175546666666667,15.7,16.1,56.456398335549
