"Entry","Name","Origin","Source","Synonyms"
230,"PI 374121 AGL","Morocco","USDA","ILL 1943;ILL 1942;IG 1943;IG 1942;PI 374121 LSP;PI 374121"
231,"PI 379368 LSP AGL","Macedonia","USDA","IVANKOVSKA;ILL 1944;IG 1944;PI 379368;Ivankovska;PI 379368 LSP"
232,"PI 383682 LSP AGL","Turkey","USDA","ILL 1955;PI 383682 LSP;IG 1955;PI 383682;L-784;JS 0572;PI 380890;PI 380892;PI 380893;PI 380891"
233,"PI 420818 AGL","Greece","USDA","PI 420818"
234,"PI 420924 LSP AGL","Jordan","USDA","PI 420924 LSP"
235,"PI 420925 LSP AGL","Jordan","USDA","PI 420925 LSP"
236,"PI 420929 LSP AGL","Jordan","USDA","PI 420929 LSP"
237,"PI 426202 LSP AGL","Afghanistan","USDA","K-1069;PI 426202;PI 426202 LSP"
238,"PI 426778 LSP AGL","Pakistan","USDA","K-379;PI 426778;PI 426778 LSP"
239,"PI 426784 LSP AGL","Pakistan","USDA","K-485;PI 426784;PI 426784 LSP"
240,"PI 426797 LSP AGL","Pakistan","USDA","K-712;PI 426797;PI 426797 LSP"
241,"PI 426807 LSP AGL","Pakistan","USDA","K-916;PI 426807;PI 426807 LSP"
242,"PI 431618 LSP AGL","Iran","USDA","RPIP 33-071-10139;PI 431618;PI 431618 LSP"
243,"PI 431622 LSP AGL","Iran","USDA","RPIP 33-071-10151;PI 431622;PI 431622 LSP"
244,"PI 431630 LSP AGL","Iran","USDA","RPIP 33-071-10179;PI 431630;PI 431630 LSP"
245,"PI 431633 LSP AGL","Iran","USDA","RPIP 33-071-10233;PI 431633;PI 431633 LSP"
246,"PI 431636 LSP AGL","Iran","USDA","ILL 750;PI 431636;NEL 750;NEL 883;NEL 1010;NEL 1011;PI 431636 LSP;ILL 1011;ILL 1010;ILL 883;RPIP 33-071-10408;IG 750;IG 883;IG 1010;IG 1011"
247,"PI 431643 LSP AGL","Iran","USDA","ILL 902;PI 431643 LSP;RPIP 33-071-10417;IG 902;PI 431643;PI 329163;NEL 902;ILL 528;IG 528;NEL 528"
248,"PI 431662 LSP AGL","Iran","USDA","ILL 906;NEL 906;NEL 1029;PI 431662 LSP;ILL 1029;ILL 773;RPIP 33-071-10439;IG 773;IG 906;IG 1029;PI 431662;NEL 773"
249,"PI 431663 LSP AGL","Iran","USDA","ILL 775;NEL 908;NEL 1030;PI 431663 LSP;ILL 908;ILL 1030;RPIP 33-071-10440;IG 775;IG 908;IG 1030;PI 431663;NEL 775"
250,"PI 431679 LSP AGL","Egypt","USDA","IG 1046;ILL 1046;RPIP 33-071-10458;PI 431679;P-454;NEL 1046;PI 431679 LSP"
251,"PI 431684 LSP AGL","Iran","USDA","ILL 1060;NEL 1060;PI 431684 LSP;ILL 1061;5-64(s);RPIP 33-071-10473;IG 1060;IG 1061;PI 431684;P-501;NEL 1061"
252,"PI 431705 LSP AGL","Iran","USDA","RPIP 33-071-10497;PI 431705;PI 431705 LSP"
253,"PI 431710 LSP AGL","Iran","USDA","RPIP 33-071-10502;PI 431710;PI 431710 LSP"
254,"PI 431714 LSP AGL","Iran","USDA","RPIP 33-071-10506;PI 431714;PI 431714 LSP"
255,"PI 431717 LSP AGL","Iran","USDA","RPIP 33-071-10509;188-55(s)(65);PI 431717;PI 431717 LSP"
256,"PI 431728 LSP AGL","Iran","USDA","RPIP 33-071-10520;PI 431728;PI 431728 LSP"
257,"PI 431731 LSP AGL","Iran","USDA","RPIP 33-071-10523;PI 431731;PI 431731 LSP"
258,"PI 431739 LSP AGL","Iran","USDA","RPIP 33-071-10531;PI 431739;PI 431739 LSP"
259,"PI 431753 LSP AGL","Iran","USDA","RPIP 33-071-10545;PI 431753;PI 431753 LSP"
260,"PI 431756 LSP AGL","Iran","USDA","RPIP 33-071-10548;PI 431756;PI 431756 LSP"
261,"PI 431809 LSP AGL","Iran","USDA","RPIP 33-071-10650;PI 431809;PI 431809 LSP"
262,"PI 431824 LSP AGL","Iran","USDA","RPIP 33-071-10668;PI 431824;PI 431824 LSP"
263,"PI 431863 LSP AGL","Iran","USDA","RPIP 33-071-10711;PI 431863;PI 431863 LSP"
264,"PI 431873 LSP AGL","Iran","USDA","RPIP 33-071-10721;PI 431873;PI 431873 LSP"
265,"PI 431884 LSP AGL","Iran","USDA","RPIP 33-071-10733;PI 431884;PI 431884 LSP"
266,"PI 431888 LSP AGL","Iran","USDA","RPIP 33-071-10738;PI 431888;PI 431888 LSP"
267,"PI 431923 LSP AGL","Iran","USDA","RPIP 33-071-10777;PI 431923;PI 431923 LSP"
268,"PI 431980 LSP AGL","Iran","USDA","RPIP 33-071-10841;PI 431980;PI 431980 LSP"
269,"PI 432000 LSP AGL","Iran","USDA","RPIP 33-071-10866;PI 432000;PI 432000 LSP"
270,"PI 432001 LSP AGL","Iran","USDA","RPIP 33-071-10867;PI 432001;PI 432001 LSP"
271,"PI 432002 LSP AGL","Iran","USDA","RPIP 33-071-10869;PI 432002;PI 432002 LSP"
272,"PI 432005 LSP AGL","Iran","USDA","RPIP 33-071-10872;PI 432005;PI 432005 LSP"
273,"PI 432028 LSP AGL","Iran","USDA","RPIP 33-071-10897;PI 432028;PI 432028 LSP"
274,"PI 432033 LSP AGL","Iran","USDA","RPIP 33-071-10902;PI 432033;PI 432033 LSP"
275,"PI 432085 LSP AGL","Iran","USDA","RPIP 33-071-10961;PI 432085;PI 432085 LSP"
276,"PI 432106 LSP AGL","Iran","USDA","RPIP 33-071-11001;PI 432106;PI 432106 LSP"
277,"PI 432124 LSP AGL","Iran","USDA","RPIP 33-071-11021;PI 432124;PI 432124 LSP"
278,"PI 432145 LSP AGL","Iran","USDA","RPIP 33-071-11045;PI 432145;PI 432145 LSP"
279,"PI 432147 LSP AGL","Iran","USDA","RPIP 33-071-11047;PI 432147;PI 432147 LSP"
280,"PI 432184 LSP AGL","Iran","USDA","RPIP 33-071-11095;PI 432184;PI 432184 LSP"
281,"PI 432188 LSP AGL","Iran","USDA","RPIP 33-071-11102;PI 432188;PI 432188 LSP"
282,"PI 432190 LSP AGL","Iran","USDA","RPIP 33-071-11108;PI 432190;PI 432190 LSP"
283,"PI 432201 LSP AGL","Iran","USDA","RPIP 33-071-11123;PI 432201;PI 432201 LSP"
284,"PI 432212 LSP AGL","Iran","USDA","RPIP 33-071-11146;PI 432212;PI 432212 LSP"
285,"PI 432236 LSP AGL","Jordan","USDA","RPIP 33-079-10999;PI 432236;PI 432236 LSP"
286,"PI 432245 LSP AGL","Lebanon","USDA","RPIP 33-085-10598;PI 432245;PI 432245 LSP"
287,"PI 432271 LSP AGL","Turkey","USDA","RPIP 33-153-11119;PI 432271;PI 432271 LSP"
288,"PI 432286 LSP AGL","Egypt","USDA","RPIP 33-155-10568;PI 432286;PI 432286 LSP"
289,"PI 451763 LSP AGL","USA","USDA","PI 451763 LSP"
290,"PI 458503 LSP AGL","Mexico","USDA","PI 458503 LSP"
291,"PI 468900 LSP AGL","Brazil","USDA","PI 468900 LSP"
292,"PI 468901 AGL","Brazil","USDA","PI 468901"
293,"PI 468902 LSP AGL","Brazil","USDA","POPULACAO IBIRUBA;PI 468902;PI 468902 LSP"
294,"PI 472136 LSP AGL","India","USDA","PI 472136 LSP"
295,"PI 472205 LSP AGL","India","USDA","NP-14;PI 472419;PI 472205;PI 472205 LSP"
296,"PI 472213 LSP AGL","India","USDA","NP-27;PI 472431;PI 472213;PI 472213 LSP"
297,"PI 472327 LSP AGL","India","USDA","33-069-00258;PI 472327 LSP"
298,"PI 472380 LSP AGL","India","USDA","33-069-00314;PI 472380 LSP"
299,"PI 472416 LSP AGL","India","USDA","NP-11;PI 472416;PI 472201;PI 472416 LSP"
300,"PI 472488 LSP AGL","India","USDA","VIIB-83-1;PI 472488;PI 472488 LSP"
301,"PI 472559 LSP AGL","India","USDA","33-069-00511;PI 472559 LSP"
302,"PI 472561 LSP AGL","India","USDA","33-069-00513;PI 472561 LSP"
303,"PI 472569 LSP AGL","Egypt","USDA","Giza-9.;PI 472569;PI 472569 LSP"
304,"PI 472588 LSP AGL","Egypt","USDA","PI 472588 LSP"
305,"PI 472590 LSP AGL","Lebanon","USDA","PI 472590 LSP"
306,"PI 472615 LSP AGL","Jordan","USDA","PI 472615 LSP"
307,"PI 472629 LSP AGL","Iran","USDA","PI 472629 LSP"
308,"PI 477921 LSP AGL","USA","USDA","REDCHIEF;RC 511;PI 477921;NSL 174459;Redchief;W6 27784 LSP;PI 477921 LSP"
309,"PI 490288 LSP AGL",NA,"USDA","ANICIA;IG 4740;PI 490288;ILL 4740;PI 490288 LSP"
310,"PI 490289 LSP AGL","France","USDA","MARIETTE;PI 490289;PI 490289 LSP"
311,"PI 508090 AGL","USA","USDA","BREWER;LC711981;PI 508090 LSP;PI 508090"
312,"PI 518733 LSP AGL","Brazil","USDA","CNPH 84-123;PI 518733;PI 518733 LSP"
313,"PI 518734 LSP AGL","Brazil","USDA","CNPH 84-125;PI 518734;PI 518734 LSP"
314,"PI 533688 LSP AGL","Spain","USDA","PI 533688 LSP"
315,"PI 533693 LSP AGL","Spain","USDA","VERDINA;PI 533693;PI 533693 LSP"
316,"PI 612875 AGL","Syria","USDA","ILL 6816;PI 612875"
317,"PI 643451 AGL","Ethiopia","USDA","ALEM TINA;ILL 7980;IG 117680;FLIP 96-48 L;PI 643451"
318,"PI 643452 AGL","Syria","USDA","ASSANO;FLIP 88-46L;ILL 6819;IG 71402;PI 643452"
319,"Shasta AGL","USA","USDA","Shasta"
320,"W6 27754 LSP AGL","Canada","USDA","1048-8R;W6 27754;W6 27754 SPC;W6 27754 LSP"
321,"W6 27760 LSP AGL","Egypt","USDA","Giza-9;W6 27760;W6 27760 LSP"
322,"W6 27763 LSP AGL",NA,"USDA","ILL 5588;W6 27763;IG 5588;PI 592998;PI 592998 LSP;78S 26013;W6 11175;W6 27763 LSP"
323,"W6 27766 LSP AGL","Syria","USDA","ILL 7537;W6 27766;W6 27766 SPC;IG 76256;FLIP 93-36L;W6 27766 LSP"
324,"W6 27767 LSP AGL","Unknown","USDA","Barimasur-4;ILL 8006 BM4;W6 27767;W6 27767 SPC;W6 27767 LSP"
