"Entry","Name","Origin","Source","Synonyms"
75,"ILL 4164 AGL","India","ICARDA","IG 4164;ILL 4164"
76,"ILL 4400 AGL","Syria","ICARDA","IG 4400;SYRIAN LOCAL LARGE;ILL 4400"
77,"ILL 4605 AGL","Argentina","ICARDA","Precoz;PI 515969;PI 515969 LSP;C14529;ILL 4679;W6 27783 LSP;W6 27783;ILL 4605;IG 4605;W6 27762 LSP;PRECOZ;W6 27762;W6 27762 SPC;IG 4679;IG 123707;IG 141860"
78,"ILL 4609 AGL","Netherlands","ICARDA","IG 4609;EC 127569;ILL 4609"
79,"ILL 4665 AGL","Hungary","ICARDA","IG 4665;ILL 4665"
80,"ILL 4671 AGL","USA","ICARDA","IG 4671;ILL 4671"
81,"ILL 4768 AGL","Yemen","ICARDA","IG 4768;Bilsen tholthi;ILL 4768"
82,"ILL 4782 AGL","Unknown","ICARDA","IG 4782;II-3-35;ILL 4782"
83,"ILL 4783 AGL","Czech Republic","ICARDA","IG 4783;II-3-40;ILL 4783"
84,"ILL 4804 AGL","Libya","ICARDA","IG 4804;II-3-135;ILL 4804"
85,"ILL 4875 AGL","Uzbekistan","ICARDA","IG 4875;ILL 4875"
86,"ILL 4956 AGL","Portugal","ICARDA","IG 4956;ILL 4956"
87,"ILL 5058 AGL","Spain","ICARDA","IG 5058;ILL 5058"
88,"ILL 5151 AGL","India","ICARDA","IG 5151;ILL 5151"
89,"ILL 5209 AGL","Jordan","ICARDA","IG 5209;ILL 5209"
90,"ILL 5480 AGL","Czech Republic","ICARDA","IG 5480;ILL 5480;Lenka;IG 4409;IG 4834;IG 4897;ILL 4834;II-3-247;ILL 4409;ILL 4897"
91,"ILL 5639 AGL",NA,"ICARDA","IG 5639;75KF  36107;75Kf 36107;ILL 5639"
92,"ILL 5722 AGL","Turkey","ICARDA","IG 5722;Al Dayi;PI 631395;ALI DAYI;FLIP 84-51L;ILL 5722"
93,"ILL 5883 AGL","Jordan","ICARDA","IG 69492;PI 631396;Idlib-2;ILL 5883"
94,"ILL 5888 AGL","Bangladesh","ICARDA","BARIMasur-1;IG 69497;W6 27764 LSP;L-15;W6 27764;W6 27764 SPC;ILL 5888"
95,"ILL 5945 AGL","Ethiopia","ICARDA","IG 69554;ILL 5945"
96,"ILL 6002 AGL","ICARDA","ICARDA","W6 27765 LSP;W6 27765;W6 27765 SPC;ILL 6002"
97,"ILL 618 AGL","Tajikistan","ICARDA","IG 618;IG 123621;PI 343026;PI 320949;PI 343026 LSP;TADJIKSKAJA 95;ILL 516;TADZIR'S 95;ILL 598;ILL 618;PI 345637;TADZIKISKAYA 95;VIR 1834;NEL 618;TADZHIKSKAYA 95;K-1834;IG 516;IG 598"
98,"ILL 6182 AGL","Tunisia","ICARDA","IG 70237;MEDAHIA;ILL 6182"
99,"ILL 6211 AGL","ICARDA","ICARDA","FLIP 87-21L;IG 71143;ILL 6211"
100,"ILL 624 AGL","Macedonia","ICARDA","IG 624;PI 357226;Lokalna sitna;NEL 624;LOKALNA SITNA;ILL 624"
101,"ILL 6821 AGL","Ethiopia","ICARDA","FLIP 89-63L;Alemaya;IG 73685;ILL 6821"
102,"ILL 6853 AGL","Syria","ICARDA","IG 73717;ILL 6853"
103,"ILL 7089 AGL","Russia","ICARDA","IG 73953;ILL 7089"
104,"ILL 7558 AGL","India","ICARDA","PKVL-1;IG 76277;ILL 7558"
105,"ILL 7663 AGL","ICARDA","ICARDA","FLIP 95-7L;IG 114665;ILL 7663"
106,"ILL 7668 AGL","ICARDA","ICARDA","FLIP 95-12L;IG 114670;ILL 7668"
107,"ILL 7716 AGL","India","ICARDA","IG 114718;FLIP 95-60L;K-75;ILL 7716"
108,"ILL 7747 AGL","Syria","ICARDA","IG 114393;ILL 7747"
109,"ILL 7946 AGL","Syria","ICARDA","ILL 7946"
110,"ILL 7978 AGL","Ethiopia","ICARDA","Teshale;FLIP 96-46L;PI 644221;TESHALE;ILL 7978"
111,"ILL 7979 AGL","ICARDA","ICARDA","FLIP 96-47L;ILL 7979"
112,"ILL 8007 AGL","Bangladesh","ICARDA","PI 605355;BARIMASUR-2;ILX 113-55;ILL 8007"
113,"ILL 8009 AGL","Bangladesh","ICARDA","ILL 8009"
114,"ILL 8010 AGL","Bangladesh","ICARDA","ILL 8010"
115,"ILL 8072 AGL","India","ICARDA","ILL 8072"
116,"ILL 8174 AGL","ICARDA","ICARDA","ILL 8174"
117,"ILL 8595 AGL",NA,"ICARDA","E 116;IG 123846;ILL 8595"
118,"ILL 9 AGL","Jordan","ICARDA","IG 9;ILL 9"
119,"ILL 975 AGL",NA,"ICARDA","IG 975;PI 299170;P-1081;NEL 975;ILL 369;LP 54-101;IG 369;NEL 369;ILL 975"
120,"ILL 9888 AGL","ICARDA","ICARDA","FLIP 2002-58 L;ILL 9888"
121,"ILL 9932 AGL","ICARDA","ICARDA","FLIP 2003-43 L;ILL 9932"
122,"ILL 9945 AGL","ICARDA","ICARDA","FLIP 2003-56 L;ILL 9945"
123,"ILL 9977 AGL","Jordan","ICARDA","FLIP 2004-24 L;ILL 9977"
124,"ILL 9997 AGL","ICARDA","ICARDA","FLIP 2004-44 L;ILL 9997"
125,"ILWL 118 AGL",NA,"ICARDA","IG 72641;NEWL 118;ILWL 118"
126,"Indianhead AGL","Canada","USASK","Indianhead;Indian Head;Indian Head AGL"
127,"IPL 220 AGL","India","ICARDA","ILL 11559;IPL 220"
128,"Laird AGL","Canada","USASK","PI 343028;PI 345633;PI 343028 LSP;PETROVSKAYA JUBILEINAYA;ILL 614;IG 614;PI 476368;PETROVSKAYA JUBILEE;NEL 614;PETROVSKAJA YUBILEJNAJA;Laird;IG 141935;PETROV'S JUBILEE;ILL 600;K-2047;IG 600;Petrovskaya Jubileinaya;VIR 2047;NEL 600"
129,"LIRL-22-46 AGL","India","ICARDA","LIRL-22-46"
130,"PI 163589 AGL","Guatemala","USDA","ILL 106;IG 106;PI 163589 LSP;PI 163589"
131,"PI 169534 LSP AGL","Turkey","USDA","ILL 115;IG 115;PI 169534;NEL 115;PI 169534 LSP"
132,"PI 175754 LSP AGL","Turkey","USDA","ILL 137;IG 137;PI 175754;PI 175754 LSP"
133,"PI 177430 LSP AGL","Turkey","USDA","ILL 151;IG 151;PI 177430;NEL 151;PI 177430 LSP"
134,"PI 178939 LSP AGL","Turkey","USDA","ILL 162;IG 162;PI 178939;NEL 162;PI 178939 LSP"
