"Entry","Name","Origin","NumberOfSeeds","SeedMass","MassWithEnvelope"
92,"ILL 5722 AGL","Turkey",300,17.7096774193548,20.8096774193548
93,"ILL 5883 AGL","Jordan",300,15.5872756933116,18.6872756933116
94,"ILL 5888 AGL","Bangladesh",300,11.52,14.62
95,"ILL 5945 AGL","Ethiopia",300,9.5260663507109,12.6260663507109
96,"ILL 6002 AGL","ICARDA",300,18.4548551959114,21.5548551959114
97,"ILL 618 AGL","Tajikistan",300,8.51645569620253,11.6164556962025
98,"ILL 6182 AGL","Tunisia",300,8.39029535864979,11.4902953586498
99,"ILL 6211 AGL","ICARDA",300,17.9323671497585,21.0323671497585
100,"ILL 624 AGL","Macedonia",300,9.13793103448276,12.2379310344828
101,"ILL 6821 AGL","Ethiopia",300,12.0073349633252,15.1073349633252
102,"ILL 6853 AGL","Syria",300,22.4232283464567,25.5232283464567
103,"ILL 7089 AGL","Russia",300,15.5547945205479,18.6547945205479
104,"ILL 7558 AGL","India",300,18.9943342776204,22.0943342776204
105,"ILL 7663 AGL","ICARDA",300,12.0583333333333,15.1583333333333
106,"ILL 7668 AGL","ICARDA",300,10.4324758842444,13.5324758842444
107,"ILL 7716 AGL","India",300,17.3577127659574,20.4577127659574
108,"ILL 7747 AGL","Syria",300,10.4081632653061,13.5081632653061
109,"ILL 7946 AGL","Syria",300,12.3942307692308,15.4942307692308
110,"ILL 7978 AGL","Ethiopia",300,14.4217391304348,17.5217391304348
111,"ILL 7979 AGL","ICARDA",300,8.57739938080495,11.677399380805
112,"ILL 8007 AGL","Bangladesh",300,9.9841628959276,13.0841628959276
113,"ILL 8009 AGL","Bangladesh",300,7.06666666666667,10.1666666666667
114,"ILL 8010 AGL","Bangladesh",300,7.98439024390244,11.0843902439024
115,"ILL 8072 AGL","India",300,22.6016949152542,25.7016949152542
116,"ILL 8174 AGL","ICARDA",300,20.9462365591398,24.0462365591398
117,"ILL 8595 AGL","Ecuador",300,16.635499207607,19.735499207607
118,"ILL 9 AGL","Jordan",300,17.34375,20.44375
119,"ILL 975 AGL","Chile",300,12.0321715817694,15.1321715817694
120,"ILL 9888 AGL","ICARDA",300,9.22869955156951,12.3286995515695
121,"ILL 9932 AGL","ICARDA",300,9.16607142857143,12.2660714285714
122,"ILL 9945 AGL","ICARDA",300,11.3080568720379,14.4080568720379
123,"ILL 9977 AGL","Jordan",300,10.478021978022,13.578021978022
124,"ILL 9997 AGL","ICARDA",300,11.8299817184643,14.9299817184643
125,"ILWL 118 AGL","Syria",300,9.50587248322148,12.6058724832215
126,"Indianhead AGL","Canada",300,7.11415525114155,10.2141552511416
127,"IPL 220 AGL","India",300,8.35476718403548,11.4547671840355
128,"Laird AGL","Canada",300,19.3312020460358,22.4312020460358
129,"LIRL-22-46 AGL","India",300,11.870159453303,14.970159453303
130,"PI 163589 AGL","Guatemala",300,17.2691218130312,20.3691218130312
131,"PI 169534 LSP AGL","Turkey",300,8.6095041322314,11.7095041322314
132,"PI 175754 LSP AGL","Turkey",300,13.6041412911084,16.7041412911084
133,"PI 177430 LSP AGL","Turkey",300,11.836032388664,14.936032388664
134,"PI 178939 LSP AGL","Turkey",300,8.54735959765298,11.647359597653
135,"PI 178952 AGL","Turkey",300,10.3497453310696,13.4497453310696
136,"PI 178971 LSP AGL","Turkey",300,8.3389296956978,11.4389296956978
137,"PI 179324 LSP AGL","Turkey",300,12.0627376425856,15.1627376425856
138,"PI 179330 AGL","Turkey",300,13.8455497382199,16.9455497382199
139,"PI 181771 LSP AGL","Lebanon",300,8.2874671340929,11.3874671340929
140,"PI 181886 LSP AGL","Syria",300,22.2281879194631,25.3281879194631
141,"PI 182217 LSP AGL","Turkey",300,9.25403225806452,12.3540322580645
142,"PI 193546 AGL","Ethiopia",300,13.0962962962963,16.1962962962963
143,"PI 193547 LSP AGL","Ethiopia",300,7.96812749003984,11.0681274900398
144,"PI 193548 LSP AGL","Ethiopia",300,9.38159675236806,12.4815967523681
145,"PI 193550 AGL","Ethiopia",300,8.32991318074191,11.4299131807419
146,"PI 207492 LSP AGL","Afghanistan",300,8.3075117370892,11.4075117370892
147,"PI 518731 LSP AGL","Brazil",300,10.2040038131554,13.3040038131554
148,"PI 209858 LSP AGL","Greece",300,11.5826771653543,14.6826771653543
149,"PI 211052 LSP AGL","Afghanistan",300,7.57357750163506,10.6735775016351
150,"PI 212100 LSP AGL","Afghanistan",300,8.26330150068213,11.3633015006821
151,"PI 212610 LSP AGL","Afghanistan",300,8.184,11.284
152,"PI 217949 LSP AGL","Pakistan",300,6.91442848219863,10.0144284821986
153,"PI 238758 LSP AGL","Belgium",300,19.3794642857143,22.4794642857143
154,"PI 244046 AGL","Yemen",300,9.81865736704446,12.9186573670445
155,"PI 250156 LSP AGL","Pakistan",300,8.13782051282051,11.2378205128205
