"Temperate_Location","SouthAsian_Location","Mediterranean_Location","RR","Genotypes"
"Su18","In17","Mo16",0.756032,213
"Us18","Ba17","Mo17",0.756292,289
"Su18","In17","Sp17",0.756744,213
"Ro17","In17","Mo16",0.757431,213
"Su18","In17","Sp16",0.758209,213
"Ro17","In17","Sp17",0.7589,213
"Ro17","In17","Sp16",0.759595,213
"Ro16","In17","Mo16",0.760295,213
"Ro16","In17","Sp17",0.761455,213
"Su18","Ba16","It17",0.762076,252
"Ro16","In17","Sp16",0.762253,213
"Ro17","Ba16","It17",0.763227,252
"Su17","In17","Mo16",0.763322,213
"Su16","In17","Mo16",0.764495,213
"Ro16","Ba16","It17",0.764691,252
"Su17","In17","Sp17",0.764695,213
"Su18","Ba17","Mo17",0.765108,291
"Su17","In17","Sp16",0.76517,213
"Su16","In17","Sp17",0.76619,213
"Su16","In17","Sp16",0.766323,213
"Us18","In17","Mo16",0.767031,211
"Us18","In17","Sp17",0.767341,211
"Su16","Ba16","It17",0.76865,252
"Su17","Ba16","It17",0.768659,252
"Us18","In17","Sp16",0.769289,211
"Us18","Ba16","It17",0.773191,251
"Su18","Ba16","It16",0.774016,252
"Ro17","Ba16","It16",0.775851,252
"Ro16","Ba16","It16",0.778223,252
"Su17","Ba16","It16",0.78187,252
"Su16","Ba16","It16",0.782684,252
"Su18","Ba16","Sp16",0.784845,252
"Ro17","Ba17","Mo17",0.785243,291
"Us18","Ba16","It16",0.785344,251
"Ro17","Ba16","Sp16",0.7861,252
"Su18","Ba16","Sp17",0.78638,252
"Ro16","Ba17","Mo17",0.787403,291
"Ro16","Ba16","Sp16",0.788169,252
"Su18","Ba16","Mo16",0.788258,252
"Ro17","Ba16","Sp17",0.788495,252
"Ro17","Ba16","Mo16",0.789506,252
"Ro16","Ba16","Sp17",0.790465,252
"Su17","Ba16","Sp16",0.790982,252
"Ro16","Ba16","Mo16",0.791573,252
"Su16","Ba16","Sp16",0.791833,252
"Su17","Ba16","Sp17",0.793875,252
"Su17","Ba16","Mo16",0.79472,252
"Us18","Ba16","Sp16",0.794765,251
"Su16","Ba16","Sp17",0.794943,252
"Su16","Ba16","Mo16",0.795272,252
"Us18","Ba16","Sp17",0.795455,251
"Us18","Ba16","Mo16",0.797717,251
"Su16","Ba17","Mo17",0.80197,291
"Su17","Ba17","Mo17",0.802947,291
"Su18","Ba17","It17",0.83802,291
"Ro17","Ba17","It17",0.839605,291
"Ro16","Ba17","It17",0.840305,291
"Su18","Ba17","Sp16",0.841173,291
"Su16","Ba17","It17",0.842858,291
"Su17","Ba17","It17",0.842936,291
"Ro17","Ba17","Sp16",0.84307,291
"Ro16","Ba17","Sp16",0.84447,291
"Us18","Ba17","It17",0.844738,289
"Su17","Ba17","Sp16",0.846952,291
"Su16","Ba17","Sp16",0.847243,291
"Us18","Ba17","Sp16",0.848375,289
"Su18","Ba17","It16",0.84915,291
"Ro17","Ba17","It16",0.851394,291
"Su18","Ba17","Mo16",0.85223,291
"Ro16","Ba17","It16",0.852742,291
"Ro17","Ba17","Mo16",0.854468,291
"Su17","Ba17","It16",0.855487,291
"Us18","Ba17","It16",0.855716,289
"Su16","Ba17","It16",0.855728,291
"Ro16","Ba17","Mo16",0.855963,291
"Su18","Ba17","Sp17",0.856219,291
"Us18","Ba17","Mo16",0.858413,289
"Su17","Ba17","Mo16",0.858678,291
"Ro17","Ba17","Sp17",0.858843,291
"Su16","Ba17","Mo16",0.858923,291
"Ro16","Ba17","Sp17",0.859936,291
"Us18","Ba17","Sp17",0.861168,289
"Su17","Ba17","Sp17",0.862977,291
"Su16","Ba17","Sp17",0.863054,291
