"Entry","Name","Origin","Source","Lat","Lon"
91,"ILL 5639 AGL","Ethiopia","ICARDA",9.33,42.17
92,"ILL 5722 AGL","Turkey","ICARDA",NA,NA
93,"ILL 5883 AGL","Jordan","ICARDA",NA,NA
94,"ILL 5888 AGL","Bangladesh","ICARDA",NA,NA
95,"ILL 5945 AGL","Ethiopia","ICARDA",11.67,38.5
96,"ILL 6002 AGL","ICARDA","ICARDA",NA,NA
97,"ILL 618 AGL","Tajikistan","ICARDA",38.57,68.77
98,"ILL 6182 AGL","Tunisia","ICARDA",NA,NA
99,"ILL 6211 AGL","ICARDA","ICARDA",NA,NA
100,"ILL 624 AGL","Macedonia","ICARDA",41.42,21.85
101,"ILL 6821 AGL","Ethiopia","ICARDA",NA,NA
102,"ILL 6853 AGL","Syria","ICARDA",35.75,35.88
103,"ILL 7089 AGL","Russia","ICARDA",51.87,42.17
104,"ILL 7558 AGL","India","ICARDA",NA,NA
105,"ILL 7663 AGL","ICARDA","ICARDA",NA,NA
106,"ILL 7668 AGL","ICARDA","ICARDA",NA,NA
107,"ILL 7716 AGL","India","ICARDA",NA,NA
108,"ILL 7747 AGL","Syria","ICARDA",36.82,36.68
109,"ILL 7946 AGL","Syria","ICARDA",NA,NA
110,"ILL 7978 AGL","Ethiopia","ICARDA",NA,NA
111,"ILL 7979 AGL","ICARDA","ICARDA",NA,NA
112,"ILL 8007 AGL","Bangladesh","ICARDA",NA,NA
113,"ILL 8009 AGL","Bangladesh","ICARDA",NA,NA
114,"ILL 8010 AGL","Bangladesh","ICARDA",NA,NA
115,"ILL 8072 AGL","India","ICARDA",NA,NA
116,"ILL 8174 AGL","ICARDA","ICARDA",NA,NA
117,"ILL 8595 AGL","Ecuador","ICARDA",NA,NA
118,"ILL 9 AGL","Jordan","ICARDA",31.27,35.73
119,"ILL 975 AGL","Chile","ICARDA",-36.6,-72.1
120,"ILL 9888 AGL","ICARDA","ICARDA",NA,NA
121,"ILL 9932 AGL","ICARDA","ICARDA",NA,NA
122,"ILL 9945 AGL","ICARDA","ICARDA",NA,NA
123,"ILL 9977 AGL","Jordan","ICARDA",NA,NA
124,"ILL 9997 AGL","ICARDA","ICARDA",NA,NA
125,"ILWL 118 AGL","Syria","ICARDA",36.18,37.05
126,"Indianhead AGL","Canada","USASK",52.137,-106.622
127,"IPL 220 AGL","India","ICARDA",NA,NA
128,"Laird AGL","Canada","USASK",52.137,-106.622
129,"LIRL-22-46 AGL","India","ICARDA",NA,NA
130,"PI 163589 AGL","Guatemala","USDA",NA,NA
131,"PI 169534 LSP AGL","Turkey","USDA",41.67,26.57
132,"PI 175754 LSP AGL","Turkey","USDA",39.74,39.49
133,"PI 177430 LSP AGL","Turkey","USDA",41.8,33.73
134,"PI 178939 LSP AGL","Turkey","USDA",39,35
135,"PI 178952 AGL","Turkey","USDA",39.93,32.85
136,"PI 178971 LSP AGL","Turkey","USDA",39,35
137,"PI 179324 LSP AGL","Turkey","USDA",37.57,38.47
138,"PI 179330 AGL","Turkey","USDA",37.92,41.3
139,"PI 181771 LSP AGL","Lebanon","USDA",33.75,35.87
140,"PI 181886 LSP AGL","Syria","USDA",36.2,37.15
141,"PI 182217 LSP AGL","Turkey","USDA",38.23,37.18
142,"PI 193546 AGL","Ethiopia","USDA",9.05,38.7
143,"PI 193547 LSP AGL","Ethiopia","USDA",9.05,38.7
144,"PI 193548 LSP AGL","Ethiopia","USDA",9.05,38.7
145,"PI 193550 AGL","Ethiopia","USDA",9.33,42.17
146,"PI 207492 LSP AGL","Afghanistan","USDA",NA,NA
147,"PI 518731 LSP AGL","Brazil","USDA",NA,NA
148,"PI 209858 LSP AGL","Greece","USDA",NA,NA
149,"PI 211052 LSP AGL","Afghanistan","USDA",36.7,67.1
150,"PI 212100 LSP AGL","Afghanistan","USDA",32.83,67.83
151,"PI 212610 LSP AGL","Afghanistan","USDA",34.43,70.47
152,"PI 217949 LSP AGL","Pakistan","USDA",31.85,70.93
153,"PI 238758 LSP AGL","Belgium","USDA",NA,NA
154,"PI 244046 AGL","Yemen","USDA",13.6,43.98
155,"PI 250156 LSP AGL","Pakistan","USDA",34.02,71.67
156,"PI 250158 LSP AGL","Pakistan","USDA",32.58,74.1
157,"PI 251248 LSP AGL","Egypt","USDA",26.13,32.7
158,"PI 273664 LSP AGL","Ethiopia","USDA",9.58,41.87
159,"PI 280686 AGL","Egypt","USDA",NA,NA
160,"PI 283604 LSP AGL","Portugal","USDA",NA,NA
161,"PI 289066 AGL","Czech Republic","USDA",NA,NA
162,"PI 289073 LSP AGL","Hungary","USDA",NA,NA
163,"PI 289079 LSP AGL","Egypt","USDA",NA,NA
164,"PI 290716 LSP AGL","ICARDA","USDA",NA,NA
165,"PI 297285 LSP AGL","Argentina","USDA",-31.62,-60.7
166,"PI 297287 AGL","Argentina","USDA",NA,NA
167,"PI 297754 LSP AGL","Greece","USDA",39.63,22.42
168,"PI 297767 AGL","Greece","USDA",40.95,24.4
169,"PI 297772 LSP AGL","Greece","USDA",41,24.45
170,"PI 297783 AGL","Ethiopia","USDA",NA,NA
171,"PI 297787 LSP AGL","Russia","USDA",NA,NA
172,"PI 298023 LSP AGL","Turkey","USDA",40.7,36.62
173,"PI 298121 LSP AGL","France","USDA",NA,NA
174,"PI 298122 LSP AGL","France","USDA",48.33,-1.17
175,"PI 298357 LSP AGL","Egypt","USDA",30.01,31.21
176,"PI 298631 LSP AGL","Peru","USDA",-12.25,-74.75
177,"PI 298644 LSP AGL","Spain","USDA",40.08,-2.13
178,"PI 298645 AGL","Spain","USDA",39.87,-4.03
179,"PI 298921 AGL","Italy","USDA",40.83,16.55
180,"PI 298922 LSP AGL","Italy","USDA",41.34,15.19
181,"PI 298923 LSP AGL","Italy","USDA",NA,NA
182,"PI 299116 LSP AGL","Mexico","USDA",NA,NA
183,"PI 299120 LSP AGL","Mexico","USDA",NA,NA
184,"PI 299121 LSP AGL","Mexico","USDA",NA,NA
185,"PI 299126 LSP AGL","Mexico","USDA",NA,NA
186,"PI 299163 LSP AGL","Chile","USDA",-36.6,-72.12
187,"PI 299164 LSP AGL","Chile","USDA",-36.6,-72.12
188,"PI 299165 AGL","Chile","USDA",-36.6,-72.12
189,"PI 299177 LSP AGL","Chile","USDA",-36.6,-72.12
190,"PI 299237 LSP AGL","Chile","USDA",-36.6,-72.12
191,"PI 299289 AGL","Chile","USDA",-36.6,-72.12
192,"PI 299312 AGL","Chile","USDA",-33.93,-71.8
193,"PI 299345 AGL","Chile","USDA",-35.05,-71.55
194,"PI 299351 LSP AGL","Chile","USDA",-37.88,-71.18
195,"PI 299366 LSP AGL","Chile","USDA",-33.45,-70.67
196,"PI 299375 LSP AGL","Chile","USDA",-33.45,-70.67
197,"PI 300250 LSP AGL","Syria","USDA",36.39,37.18
198,"PI 302398 LSP AGL","Jordan","USDA",32.56,35.85
199,"PI 308614 LSP AGL","Syria","USDA",NA,NA
200,"PI 311107 LSP AGL","Guatemala","USDA",14.57,-90.73
201,"PI 312175 LSP AGL","Mexico","USDA",17.47,-97.23
202,"PI 320935 LSP AGL","Iran","USDA",NA,NA
203,"PI 320936 LSP AGL","Russia","USDA",42,47
204,"PI 320937 LSP AGL","Germany","USDA",NA,NA
205,"CN 105866 AGL","Tunisia","PGRC",NA,NA
206,"PI 320941 LSP AGL","Ethiopia","USDA",NA,NA
207,"PI 320945 LSP AGL","Bulgaria","USDA",43.12,25.6
208,"PI 320946 LSP AGL","Israel","USDA",NA,NA
209,"PI 320952 LSP AGL","Czech Republic","USDA",NA,NA
210,"PI 320953 LSP AGL","Germany","USDA",NA,NA
211,"PI 320954 LSP AGL","Hungary","USDA",NA,NA
212,"PI 329157 LSP AGL","Iran","USDA",38.25,48.3
213,"PI 329167 LSP AGL","Iran","USDA",35.23,58.42
214,"PI 339266 LSP AGL","Turkey","USDA",39.17,39.65
215,"PI 339283 LSP AGL","Turkey","USDA",37.22,30.3
216,"PI 339285 AGL","Turkey","USDA",37.22,30.3
217,"PI 339289 LSP AGL","Turkey","USDA",39.97,41.02
218,"PI 339292 LSP AGL","Turkey","USDA",40.92,32.08
219,"PI 339296 AGL","Turkey","USDA",37.77,38.6
220,"PI 343026 LSP AGL","Tajikistan","USDA",38.57,68.77
221,"PI 345627 LSP AGL","Ukraine","USDA",49.8,30.12
222,"PI 358602 LSP AGL","Ethiopia","USDA",11.5,39.6
223,"PI 368647 LSP AGL","Macedonia","USDA",41.54,22.54
224,"PI 368651 LSP AGL","Macedonia","USDA",41.62,21.22
225,"PI 370481 LSP AGL","Serbia","USDA",42.99,20.52
226,"PI 374116 LSP AGL","Morocco","USDA",31.75,-8.25
227,"PI 374117 LSP AGL","Morocco","USDA",31.75,-8.25
228,"PI 374118 AGL","Morocco","USDA",31.75,-8.25
229,"PI 374120 LSP AGL","Morocco","USDA",31.75,-8.25
230,"PI 374121 AGL","Morocco","USDA",31.75,-8.25
231,"PI 379368 LSP AGL","Macedonia","USDA",41.85,21.8167
232,"PI 383682 LSP AGL","Turkey","USDA",NA,NA
233,"PI 420818 AGL","Greece","USDA",NA,NA
234,"PI 420924 LSP AGL","Jordan","USDA",32.1,35.73
235,"PI 420925 LSP AGL","Jordan","USDA",31.07,35.7
236,"PI 420929 LSP AGL","Jordan","USDA",31.13,35.64
237,"PI 426202 LSP AGL","Afghanistan","USDA",36.7,67.1
238,"PI 426778 LSP AGL","Pakistan","USDA",NA,NA
239,"PI 426784 LSP AGL","Pakistan","USDA",30.07,73.07
240,"PI 426797 LSP AGL","Pakistan","USDA",32.33,74.35
241,"PI 426807 LSP AGL","Pakistan","USDA",34.62,71.97
242,"PI 431618 LSP AGL","Iran","USDA",NA,NA
243,"PI 431622 LSP AGL","Iran","USDA",NA,NA
244,"PI 431630 LSP AGL","Iran","USDA",NA,NA
245,"PI 431633 LSP AGL","Iran","USDA",NA,NA
246,"PI 431636 LSP AGL","Iran","USDA",38.42,47.12
247,"PI 431643 LSP AGL","Iran","USDA",38.25,48.3
248,"PI 431662 LSP AGL","Iran","USDA",28.68,57.8
249,"PI 431663 LSP AGL","Iran","USDA",32.68,51.68
250,"PI 431679 LSP AGL","Egypt","USDA",NA,NA
251,"PI 431684 LSP AGL","Iran","USDA",35.8,50.97
252,"PI 431705 LSP AGL","Iran","USDA",NA,NA
253,"PI 431710 LSP AGL","Iran","USDA",NA,NA
254,"PI 431714 LSP AGL","Iran","USDA",NA,NA
255,"PI 431717 LSP AGL","Iran","USDA",NA,NA
256,"PI 431728 LSP AGL","Iran","USDA",NA,NA
257,"PI 431731 LSP AGL","Iran","USDA",NA,NA
258,"PI 431739 LSP AGL","Iran","USDA",NA,NA
259,"PI 431753 LSP AGL","Iran","USDA",NA,NA
260,"PI 431756 LSP AGL","Iran","USDA",NA,NA
261,"PI 431809 LSP AGL","Iran","USDA",NA,NA
262,"PI 431824 LSP AGL","Iran","USDA",NA,NA
263,"PI 431863 LSP AGL","Iran","USDA",NA,NA
264,"PI 431873 LSP AGL","Iran","USDA",NA,NA
265,"PI 431884 LSP AGL","Iran","USDA",NA,NA
266,"PI 431888 LSP AGL","Iran","USDA",NA,NA
267,"PI 431923 LSP AGL","Iran","USDA",NA,NA
268,"PI 431980 LSP AGL","Iran","USDA",NA,NA
269,"PI 432000 LSP AGL","Iran","USDA",NA,NA
270,"PI 432001 LSP AGL","Iran","USDA",NA,NA
271,"PI 432002 LSP AGL","Iran","USDA",NA,NA
272,"PI 432005 LSP AGL","Iran","USDA",NA,NA
273,"PI 432028 LSP AGL","Iran","USDA",NA,NA
274,"PI 432033 LSP AGL","Iran","USDA",NA,NA
275,"PI 432085 LSP AGL","Iran","USDA",NA,NA
276,"PI 432106 LSP AGL","Iran","USDA",NA,NA
277,"PI 432124 LSP AGL","Iran","USDA",NA,NA
278,"PI 432145 LSP AGL","Iran","USDA",NA,NA
279,"PI 432147 LSP AGL","Iran","USDA",NA,NA
280,"PI 432184 LSP AGL","Iran","USDA",NA,NA
281,"PI 432188 LSP AGL","Iran","USDA",NA,NA
282,"PI 432190 LSP AGL","Iran","USDA",NA,NA
283,"PI 432201 LSP AGL","Iran","USDA",NA,NA
284,"PI 432212 LSP AGL","Iran","USDA",NA,NA
285,"PI 432236 LSP AGL","Jordan","USDA",NA,NA
286,"PI 432245 LSP AGL","Lebanon","USDA",NA,NA
287,"PI 432271 LSP AGL","Turkey","USDA",NA,NA
288,"PI 432286 LSP AGL","Egypt","USDA",NA,NA
289,"PI 451763 LSP AGL","USA","USDA",46.73,-117.16
290,"PI 458503 LSP AGL","Mexico","USDA",19.52,-98.87
291,"PI 468900 LSP AGL","Brazil","USDA",NA,NA
292,"PI 468901 AGL","Brazil","USDA",NA,NA
293,"PI 468902 LSP AGL","Brazil","USDA",-28.63,-53.1
294,"PI 472136 LSP AGL","India","USDA",25.18,85.52
295,"PI 472205 LSP AGL","India","USDA",NA,NA
296,"PI 472213 LSP AGL","India","USDA",NA,NA
297,"PI 472327 LSP AGL","India","USDA",28.05,79.12
298,"PI 472380 LSP AGL","India","USDA",28.98,77.7
299,"PI 472416 LSP AGL","India","USDA",NA,NA
300,"PI 472488 LSP AGL","India","USDA",NA,NA
301,"PI 472559 LSP AGL","India","USDA",NA,NA
302,"PI 472561 LSP AGL","India","USDA",NA,NA
303,"PI 472569 LSP AGL","Egypt","USDA",NA,NA
304,"PI 472588 LSP AGL","Egypt","USDA",NA,NA
305,"PI 472590 LSP AGL","Lebanon","USDA",NA,NA
306,"PI 472615 LSP AGL","Jordan","USDA",NA,NA
307,"PI 472629 LSP AGL","Iran","USDA",35.18,59.38
308,"PI 477921 LSP AGL","USA","USDA",46.73,-117.16
309,"PI 490288 LSP AGL","France","USDA",47.43,1.62
310,"PI 490289 LSP AGL","France","USDA",NA,NA
311,"PI 508090 AGL","USA","USDA",46.73,-117.16
312,"PI 518733 LSP AGL","Brazil","USDA",NA,NA
313,"PI 518734 LSP AGL","Brazil","USDA",NA,NA
314,"PI 533688 LSP AGL","Spain","USDA",37.58,-4.63
315,"PI 533693 LSP AGL","Spain","USDA",42.33,-5.37
316,"PI 612875 AGL","Syria","USDA",NA,NA
317,"PI 643451 AGL","Ethiopia","USDA",NA,NA
318,"PI 643452 AGL","Syria","USDA",NA,NA
319,"Shasta AGL","USA","USDA",46.73,-117.16
320,"W6 27754 LSP AGL","Canada","USDA",52.137,-106.622
321,"W6 27760 LSP AGL","Egypt","USDA",NA,NA
322,"W6 27763 LSP AGL","Jordan","USDA",32.05,35.73
323,"W6 27766 LSP AGL","Syria","USDA",NA,NA
324,"W6 27767 LSP AGL","ICARDA","USDA",NA,NA
