"Entry","Name","a","b","c","RR","Environments"
1,"CDC Asterix AGL",-0.0196131177678238,0.0003521979594376,0.00207312927709344,NA,18
2,"CDC Rosie AGL",-0.0159169033221351,0.000374069926589523,0.00176699265895235,0.855749876375255,18
3,"3156-11 AGL",-0.0158548557297499,0.000386257932064203,0.00171245987308697,NA,18
4,"CDC Greenstar AGL",-0.0162016104889884,0.000455428020405623,0.00170613537389573,NA,18
5,"CDC Cherie AGL",-0.0185480416200075,0.000355476545974866,0.00203098793081996,NA,18
6,"CDC Glamis AGL",-0.0175927120194102,0.000429575090207789,0.00183417568744556,NA,18
7,"CDC Gold AGL",-0.0169579427025009,0.000407976234913525,0.00179429015801916,NA,18
8,"CDC Imax AGL",-0.0206376056364315,0.000308322135125046,0.002245546845838,NA,18
9,"CDC Impower AGL",-0.0189375981709593,0.000391236157770312,0.0019902824436979,NA,18
10,"CDC KR-1 AGL",-0.0172427379619261,0.000555171083737712,0.00168710837377131,0.738489889544822,18
11,"CDC LeMay AGL",-0.0188021409107876,0.000405831155903944,0.00196644892372776,0.866343515954375,18
12,"CDC Maxim AGL",-0.0197286903695409,0.000342914644767948,0.00213479781012816,0.838558551738262,18
13,"CDC QG-1 AGL",-0.0168039938409855,0.000380126290904566,0.00179929575712331,NA,18
14,"CDC Red Rider AGL",-0.0189195145576708,0.000446317655841732,0.0019217655841732,NA,18
15,"CDC Redcoat AGL",-0.0169701868234416,0.000232465472191116,0.00200654721911161,NA,18
16,"CDC Redwing AGL",-0.0188080287420679,0.000252003235037949,0.00214032350379495,NA,18
17,"CDC Robin AGL",-0.0207967379619261,0.000445171083737713,0.00209044170710464,NA,18
18,"CDC Rosebud AGL",-0.0195735425531915,0.000533723404255319,0.00191234042553191,0.799551457484002,18
19,"CDC Rosetown AGL",-0.0168826237402016,0.000381755630210277,0.00181889635436108,NA,18
20,"CDC Rouleau AGL",-0.0193008643150429,0.000390795694911036,0.00201290282443698,0.862633807985534,18
21,"CDC Royale AGL",-0.0179508297872341,0.000425106382978723,0.00189397163120568,NA,18
22,"CDC Ruby AGL",-0.0199861537887271,0.000530415577951972,0.00197822446186388,0.784710460395268,18
23,"CDC SB-1 AGL",-0.0249037706233669,0.000489922234664676,0.00242555679980092,0.841461356435302,18
24,"CDC Sedley AGL",-0.0171171705860396,0.000449970138111235,0.00180034714445689,0.809469526351095,18
25,"CDC Vantage AGL",-0.0183079667786487,0.000474856289660321,0.00188896229936543,0.81067533568626,18
26,"CN 105604 AGL",-0.0188926407241508,0.000487737339803409,0.00200706731367426,0.844377459060691,18
27,"CN 105605 AGL",-0.0266994645390071,0.000450508274231678,0.00264749408983451,0.835338772843859,18
28,"CN 105715 AGL",-0.0286358262411347,0.000442990543735224,0.00286572104018912,0.87678342273716,18
29,"CN 105732 AGL",-0.0183908204553938,0.000463748911285305,0.00191489112853055,0.843125240935384,18
30,"CN 105767 AGL",-0.0265306050765211,0.000551262909045664,0.00259295757123305,0.86497920680328,18
31,"CN 105777 AGL",-0.0227037280701754,0.000636754385964912,0.00228210526315789,0.847236966143617,18
32,"CN 105789 AGL",-0.0220744988801792,0.000443103770063456,0.00245037700634565,0.775111337635602,18
33,"CN 105791 AGL",-0.0226358010451661,0.00078865870349633,0.00211587034963295,0.83467507626151,18
34,"CN 105862 AGL",-0.0191752917133259,0.000264523454025134,0.00214901206918004,NA,18
35,"CN 105863 AGL",-0.0207049921612542,0.000200059723777529,0.00236597237775289,NA,18
36,"CN 105864 AGL",-0.0188154944008959,0.000148852183650616,0.00229521836506159,NA,18
37,"CN 105865 AGL",-0.0200455380739082,0.000199471817842478,0.00230718178424785,NA,18
38,"CN 105895 AGL",-0.0169953590892124,0.000481391066318278,0.00195243996516113,0.791283687040292,18
39,"CN 106265 AGL",-0.0184911336319522,0.000386283439094189,0.00196834390941894,NA,18
40,"CN 108369 AGL",-0.0165745800671892,0.000368913773796192,0.00186137737961926,NA,18
41,"CN 108370 AGL",-0.0174240537513998,0.000436574592509643,0.00180079258429762,NA,18
