"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Rosthern, Canada 2016",49,0.0204136666666667,17.2,16.1,49.9632595338857
"Rosthern, Canada 2017",47.6666666666667,0.020981,17.5,16.4,48.3040977758989
"Bardiya, Nepal 2016",122.5,0.0081635,19.2,11,81.5773822825251
"Bardiya, Nepal 2017",125.333333333333,0.00797966666666667,19.4,10.8,83.2418239433965
"Cordoba, Spain 2016",112.333333333333,0.008906,12.5,10.9,121.753866612991
"Cordoba, Spain 2017",122.666666666667,0.008155,11.7,11.1,120.885522371765
"Bhopal, India 2016",NA,0.011628,17.6,10.9,108.27257187053
"Bhopal, India 2017",67.3333333333333,0.0149326666666667,20.6,10.7,105.32614828428
"Marchouch, Morocco 2016",121,0.008264,12,10.8,125.900590408999
"Marchouch, Morocco 2017",117,0.008547,11.8,11.5,108.611071813859
"Jessore, Bangladesh 2016",97.5,0.0102565,18.6,10.8,92.7748824975967
"Jessore, Bangladesh 2017",87,0.0115066666666667,21.7,11,79.9156276251225
"Central Ferry, USA 2018",61,0.0163963333333333,15.8,14.3,62.0972618767246
"Sutherland, Canada 2016",56,0.017857,16.7,15.9,53.3073685009354
"Sutherland, Canada 2017",59,0.0169593333333333,15.7,16.1,53.3374282784244
"Sutherland, Canada 2018",50,0.0200053333333333,17.6,16.1,51.3851508275224
"Metaponto, Italy 2016",131,0.00763733333333333,10.6,10.9,137.247061356606
"Metaponto, Italy 2017",141,0.00709633333333333,11.2,10.8,136.127780385554
"Rosthern, Canada 2016",52,0.0192633333333333,17.2,16.1,53.4980645939435
"Rosthern, Canada 2017",50,0.0200053333333333,17.5,16.4,51.769479316969
"Bardiya, Nepal 2016",127,0.007883,19.2,11,82.8993370614522
"Bardiya, Nepal 2017",123,0.00813433333333333,19.4,10.8,84.3299299555881
"Cordoba, Spain 2016",115,0.00870133333333333,12.5,10.9,125.246390763851
"Cordoba, Spain 2017",128.333333333333,0.00779266666666667,11.7,11.1,124.696006714216
"Bhopal, India 2016",NA,0.011628,17.6,10.9,105.522751941695
"Bhopal, India 2017",76,0.0131675,20.6,10.7,99.6947572387571
"Marchouch, Morocco 2016",128,0.007812,12,10.8,128.89288658318
"Marchouch, Morocco 2017",120.666666666667,0.00828766666666667,11.8,11.5,112.343253669836
"Jessore, Bangladesh 2016",83.6666666666667,0.011955,18.6,10.8,102.159929709072
"Jessore, Bangladesh 2017",84,0.011905,21.7,11,89.541244496656
"Central Ferry, USA 2018",63.3333333333333,0.0158033333333333,15.8,14.3,65.7982093830618
