"Entry","Name","a","b","c","RR","Environments"
1,"CDC Asterix AGL",-0.0182346749140893,0.000350969072164948,0.00195024054982818,NA,18
2,"CDC Rosie AGL",-0.0136613664604811,0.000372059106529209,0.00156591065292096,0.842113778171589,18
3,"3156-11 AGL",-0.013855615395189,0.00038447560137457,0.00153422680412371,NA,18
4,"CDC Greenstar AGL",-0.0146414301030928,0.000454037113402062,0.00156704467353952,NA,18
5,"CDC Cherie AGL",-0.0184251754639175,0.000355367010309278,0.00202003436426117,NA,18
6,"CDC Glamis AGL",-0.0155399191065292,0.00042774501718213,0.00165116838487972,NA,18
7,"CDC Gold AGL",-0.0173076187628866,0.000408287972508591,0.00182546391752577,NA,18
8,"CDC Imax AGL",-0.0175533495532646,0.000305572508591065,0.00197058419243986,NA,18
9,"CDC Impower AGL",-0.0170067249484536,0.000389514776632302,0.00181814432989691,NA,18
10,"CDC KR-1 AGL",-0.0151882716838488,0.000553339518900344,0.00150395189003436,0.723196300825552,18
11,"CDC LeMay AGL",-0.0173995673539519,0.000404580756013746,0.0018414089347079,0.861702877208963,18
12,"CDC Maxim AGL",-0.0192601141580756,0.000342496907216495,0.00209302405498282,0.836941510230819,18
13,"CDC QG-1 AGL",-0.016119600137457,0.000379516151202749,0.00173828178694158,NA,18
14,"CDC Red Rider AGL",-0.0160677065979382,0.000443775257731959,0.00166752577319588,NA,18
15,"CDC Redcoat AGL",-0.0147520254295533,0.000230487972508591,0.00180879725085911,NA,18
16,"CDC Redwing AGL",-0.0169665080412371,0.000250361512027492,0.00197615120274914,NA,18
17,"CDC Robin AGL",-0.0184770725085911,0.000443103092783505,0.00188364261168385,NA,18
18,"CDC Rosebud AGL",-0.0167361016494845,0.00053119381443299,0.00165938144329897,0.786450923065592,18
19,"CDC Rosetown AGL",-0.0144214813745704,0.000379561512027491,0.00159948453608247,NA,18
20,"CDC Rouleau AGL",-0.0168849799312715,0.000388641924398626,0.00179752577319588,0.854423661820451,18
21,"CDC Royale AGL",-0.016231053814433,0.000423573195876289,0.0017406529209622,NA,18
22,"CDC Ruby AGL",-0.0183266037113402,0.000528936082474227,0.00183027491408935,0.778707282686204,18
23,"CDC SB-1 AGL",-0.0235917659793814,0.000488752577319588,0.0023085910652921,0.83929117005542,18
24,"CDC Sedley AGL",-0.0157105734707904,0.000448716151202749,0.00167494845360825,0.799649802494071,18
25,"CDC Vantage AGL",-0.0176581505841924,0.000474276975945017,0.00183103092783505,0.807074095020383,18
26,"CN 105604 AGL",-0.0184818676975945,0.000487371134020619,0.00197044673539519,0.841665380314627,18
27,"CN 105605 AGL",-0.024747830652921,0.000448768384879725,0.00247350515463917,0.831841632868705,18
28,"CN 105715 AGL",-0.0253430075601374,0.000440054982817869,0.00257216494845361,0.872303960008891,18
29,"CN 105732 AGL",-0.017945481718213,0.000463351890034364,0.00187518900343643,0.840600970541326,18
30,"CN 105767 AGL",-0.0219300680412371,0.000547161512027491,0.00218281786941581,0.850197522977663,18
31,"CN 105777 AGL",-0.0189071925085911,0.000633369759450172,0.00194364261168385,0.824786354927816,18
32,"CN 105789 AGL",-0.0188759305154639,0.000440252233676976,0.00216522336769759,0.748664633435216,18
33,"CN 105791 AGL",-0.0185033090034364,0.000784974570446735,0.00174745704467354,0.817724615378373,18
34,"CN 105862 AGL",-0.0179505760137457,0.000263431615120275,0.00203982817869416,NA,18
38,"CN 105895 AGL",-0.0151343381443299,0.000479731958762887,0.00178652920962199,0.76996650566562,18
39,"CN 106265 AGL",-0.015764821443299,0.000383852920962199,0.00172529209621993,NA,18
40,"CN 108369 AGL",-0.015309841443299,0.000367786254295532,0.00174862542955326,NA,18
41,"CN 108370 AGL",-0.0159384510652921,0.000435250171821306,0.00166835051546392,NA,18
42,"Crimson AGL",-0.0160050422680412,0.000392883161512028,0.00181164948453608,0.761749575164486,18
43,"DPL 62 AGL",-0.0173702140206186,0.000583980756013746,0.00187807560137457,0.751097269675381,18
44,"Eston AGL",-0.0203833531958763,0.000415750515463917,0.00211171821305842,0.862063549243889,18
45,"Gudo AGL",-0.0194400218556701,0.000311068041237113,0.00225347079037801,0.88479606029024,18
46,"IG 1046 AGL",-0.0222235359450172,0.000388140206185567,0.00230068728522337,NA,18
47,"IG 1706 AGL",-0.0259701212371134,0.000447245360824742,0.0025612027491409,NA,18
48,"IG 1959 AGL",-0.0223694557388316,0.000393465979381443,0.002323264604811,NA,18
49,"IG 4258 AGL",-0.0193073701030928,0.000458903780068728,0.00213037800687285,0.828736247201869,18
50,"IG 4781 AGL",-0.0169453191065292,0.000369745017182131,0.00182116838487973,NA,18
51,"IG 858 AGL",-0.0213339151202749,0.000430443298969072,0.00219099656357388,0.845613541950747,18
52,"ILL 10657 AGL",-0.0199549810309278,0.000504104467353952,0.00217711340206185,0.751216631056411,18
53,"ILL 10748 AGL",-0.0131952531958763,0.000606083848797251,0.00149505154639175,0.766374669032743,18
54,"ILL 11547 AGL",-0.0180931478350515,0.000543953951890034,0.00198539518900344,0.709840578580495,18
55,"ILL 11548 AGL",-0.0165064779381443,0.000561657731958763,0.00180577319587629,0.76383238214658,18
56,"ILL 11553 AGL",-0.0189607635051546,0.00052812852233677,0.00202618556701031,0.806425766105425,18
57,"ILL 11555 AGL",-0.0177398252920962,0.000616305154639175,0.00188718213058419,0.721360838579813,18
58,"ILL 11557 AGL",-0.0169706301030928,0.000626703780068729,0.00179704467353952,0.750105187378165,18
59,"ILL 11558 AGL",-0.0177699592439862,0.00067046116838488,0.00184278350515464,0.769348313927708,18
60,"ILL 1220 AGL",-0.0215382546391753,0.00045533676975945,0.00218701030927835,NA,18
61,"ILL 1553 AGL",-0.02327638790378,0.000445245360824742,0.00237453608247422,0.906097057042279,18
63,"ILL 1983 AGL",-0.0181453312027491,0.000483166323024055,0.00195329896907216,0.888854774943552,18
64,"ILL 213 AGL",-0.0221255855670103,0.00032880412371134,0.00240374570446735,NA,18
65,"ILL 2194 AGL",-0.0185815494845361,0.000225814432989691,0.00220644329896907,NA,18
66,"PI 431893 LSP AGL",-0.0198953850859106,0.000567497594501718,0.00191309278350515,0.829329266238127,18
67,"ILL 2507 AGL",-0.0175717976632302,0.000508225429553265,0.00191920962199313,0.816931033158072,18
68,"ILL 2580 AGL",-0.0214533344329897,0.000515462542955326,0.00219625429553265,NA,18
69,"ILL 28 AGL",-0.0186240773195876,0.000299501718213058,0.00212350515463917,NA,18
70,"ILL 3025 AGL",-0.0187854937457045,0.000496015120274914,0.00202817869415808,0.882064998721883,18
71,"ILL 313 AGL",-0.0210930834364261,0.000276970446735395,0.00233704467353952,NA,18
72,"ILL 3347 AGL",-0.0193442214432989,0.000485852920962199,0.00210529209621993,0.850537137463024,18
73,"ILL 358 AGL",-0.0199371832989691,0.000361787628865979,0.00221209621993127,0.863008207125407,18
74,"ILL 3597 AGL",-0.0200540499656357,0.000451120962199313,0.0021454295532646,0.901703421503108,18
75,"ILL 4164 AGL",-0.0194646408247423,0.000264963573883161,0.00227635738831615,NA,18
76,"ILL 4400 AGL",-0.0200411664604811,0.000349392439862543,0.00218591065292096,NA,18
77,"ILL 4605 AGL",-0.0135682764948454,0.000569738144329897,0.00158381443298969,0.694783473804128,18
78,"ILL 4609 AGL",-0.0202937843986254,0.000256916838487973,0.00229001718213058,NA,18
79,"ILL 4665 AGL",-0.019623344742268,0.000382507216494845,0.0021073883161512,0.87496164230676,18
80,"ILL 4671 AGL",-0.0170743792439863,0.00023306116838488,0.00203945017182131,NA,18
81,"ILL 4768 AGL",-0.0199603846735395,0.000456282474226804,0.00219491408934708,0.753683992805655,18
82,"ILL 4782 AGL",-0.0182415048797251,0.000432156701030928,0.00209233676975945,0.744781215060854,18
83,"ILL 4783 AGL",-0.0169675400687285,0.000246958075601375,0.00197247422680412,NA,18
84,"ILL 4804 AGL",-0.0202405119587629,0.000366905154639175,0.00220718213058419,NA,18
85,"ILL 4875 AGL",-0.0168185644673539,0.000412741580756013,0.00175415807560137,NA,18
86,"ILL 4956 AGL",-0.0185158791065292,0.000383211683848797,0.00196450171821306,NA,18
88,"ILL 5151 AGL",-0.017913641443299,0.000260119587628866,0.0021369587628866,NA,18
89,"ILL 5209 AGL",-0.0190654865979381,0.000277175257731959,0.00222752577319588,NA,18
90,"ILL 5480 AGL",-0.0171493517525773,0.000463164261168385,0.00174975945017182,0.850320665627099,18
91,"ILL 5639 AGL",-0.02112547395189,0.000364356013745704,0.00227560137457044,NA,18
92,"ILL 5722 AGL",-0.0234036098969072,0.000773829553264605,0.00209962199312715,0.846071465486429,18
93,"ILL 5883 AGL",-0.0189153793814433,0.000291243986254295,0.00219439862542955,NA,18
94,"ILL 5888 AGL",-0.0163123323024055,0.00112362886597938,0.00126455326460481,0.825654492917499,18
