"Entry","Name","Origin","Region","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","Cluster"
94,"ILL 5888 AGL","Bangladesh","Asia",-12.1227619933447,3.61163891236034,-1.31768135013158,0.968693108809403,-0.337090892543989,-0.260887829674973,1.10338729271309,-0.022573891817312,-1.12591111267966,-1.31602199705544,"1"
105,"ILL 7663 AGL","ICARDA",NA,-10.5364499757076,3.45153838244957,-0.953967386416294,0.166785953780573,-0.0255171950237531,-0.251956167462984,1.20786536338706,0.147410152058277,-0.960506946371048,-1.10446497838342,"1"
157,"PI 251248 LSP AGL","Egypt","Africa",-9.78607249794876,0.240253901398907,-0.746500541121326,0.321737234728353,-0.707472770575915,0.00821813605341993,0.285596211201993,-0.0378509424023616,-0.707953037140415,-0.396532844643293,"1"
154,"PI 244046 AGL","Yemen","Asia",-9.1222662873669,0.708913842638669,-0.443317526952954,0.18628233027383,-0.688739206166724,-0.384283563059082,-0.0513616989367023,-0.410117666196453,-0.33134209830661,-0.488823316680866,"1"
129,"LIRL-22-46 AGL","India","Asia",-8.22160481473127,3.03938772758113,-0.474997883917379,-0.333424835523617,0.442140818736042,-0.203247560874301,0.40992908210389,-0.378754713706328,-0.420951141213426,-0.692950927266617,"1"
112,"ILL 8007 AGL","Bangladesh","Asia",-8.05252649202788,0.828647608130381,-0.351522362161541,0.602744174766624,-0.226979878490555,-0.215779782414667,0.260988297120987,0.587822247394587,-0.110138627872349,0.0247386843674768,"1"
33,"CN 105791 AGL","Egypt","Africa",-7.96042897416311,1.91816650451287,-0.665079807663382,0.594207341582557,0.217978016440366,0.072068063708289,1.17423319554947,0.809666727130866,-0.0996752947024694,-0.107535451591218,"1"
295,"PI 472205 LSP AGL","India","Asia",-7.24410105245964,1.73034056419518,-0.331930717324222,-0.0390420080169733,0.386522224002078,-0.115287507274701,0.322272750058894,0.245213209538993,0.0460065518287467,-0.20714422911839,"1"
96,"ILL 6002 AGL","ICARDA",NA,-7.05858591352253,2.5664519302534,0.21496977437002,-0.144732513558282,0.168618711397033,-0.821727169245056,-0.168770850898371,-0.851907171258807,0.0116369639229207,-0.815216072978575,"1"
145,"PI 193550 AGL","Ethiopia","Africa",-6.91038856045468,0.120564370123796,0.0139457633216599,-0.147892296632297,-0.4701144811926,-0.12411971732706,-0.240293951378656,0.139370669629106,0.39462918666616,-0.315887266638286,"1"
59,"ILL 11558 AGL","India","Asia",-6.85193712927304,1.27558510507316,-0.309283717310349,0.521868350010109,-0.701981793958034,-0.114163616837447,0.0633294067823921,0.314454641249459,0.447184169863836,-0.0669973797775081,"1"
127,"IPL 220 AGL","India","Asia",-6.70147532233673,0.676434852595636,-0.292085070322163,0.491570052245836,-0.625933570991477,0.58281386350473,-0.338889628293157,0.580349882643613,0.423120015584876,-0.0888821160741248,"1"
58,"ILL 11557 AGL","India","Asia",-6.66412615807566,1.34851989692361,-0.331814788146615,-0.186241283190708,0.0188690333379137,-0.508752355461488,0.158382027860845,0.0866589710939602,0.248031727748065,0.0689555511666928,"1"
31,"CN 105777 AGL","Egypt","Africa",-6.63930957193973,0.463511466989276,-0.584930300081796,0.926808951269829,-0.0800481067952171,-0.0515477165154028,-0.0743801226122816,0.311491470698646,0.12497763528741,-0.0112386352436506,"1"
77,"ILL 4605 AGL","Argentina","Americas",-6.56956279797553,2.8781115781781,-0.0214927136951486,-0.434597431585259,0.643461633077356,-0.458166461867191,-0.12442115450104,-0.0625987643452921,-0.332137246079123,-0.17396006543306,"1"
170,"PI 297783 AGL","Ethiopia","Africa",-6.56338584017137,-0.186907575741251,0.25067182467305,0.0252135587786473,-0.162139313640935,0.147618805600213,-0.519059318502036,0.19591784308608,0.126870637801292,-0.287142198244602,"2"
55,"ILL 11548 AGL","Ethiopia","Africa",-6.5252901748404,1.0294407857126,-0.51713245747087,-0.231697138840415,-0.560152287573285,-0.428850168706916,0.219551455776349,-0.207178064023131,0.15367486716543,-0.138096744739744,"1"
57,"ILL 11555 AGL","India","Asia",-6.47196211356711,1.08268697982981,-0.0646985499019491,-0.172703384666633,0.321833742812546,0.0531705540177241,0.223481561954736,0.224208412058018,0.618459777881539,0.0900028011397403,"1"
107,"ILL 7716 AGL","India","Asia",-6.40595005153156,3.2140905750194,-0.0687699974828767,-0.259482747611622,0.172176902120337,-0.954611138520148,-0.0783793895373879,0.104869064061532,-0.470311582268385,0.0734426902206566,"1"
113,"ILL 8009 AGL","Bangladesh","Asia",-6.33212819169591,0.223383695866942,-0.104112277721555,0.0418766797450293,0.188343327910681,0.304336710742527,0.179975094808586,0.792138986585486,0.433993330845006,0.412653618572281,"2"
144,"PI 193548 LSP AGL","Ethiopia","Africa",-6.26572401348265,-0.124245732377812,0.661120116329948,-0.339845157671096,-0.436129274576537,0.0393198297976805,-0.252592583335853,0.478200635535333,0.231714634476499,-0.160663419175709,"2"
54,"ILL 11547 AGL","Ethiopia","Africa",-6.22389693315678,0.971378897980003,0.287928557233419,-0.621934824423551,-0.0901035882869779,-0.614211835682458,0.0015304148680598,0.360869390456887,0.593519631651642,-0.193587969395293,"1"
53,"ILL 10748 AGL","ICARDA",NA,-6.16639215959081,3.29837193635949,0.359265409006985,-0.286194627812154,0.213396083422618,-0.761278798299412,-0.239710533470422,-0.385981559613907,-0.0492736311234221,-0.394612449793508,"1"
156,"PI 250158 LSP AGL","Pakistan","Asia",-6.13161328701776,0.399298794595652,0.948127246779265,0.00987981145127497,0.186992479414812,0.500448376688331,0.0640022612666782,0.0633697480998297,0.316946452011063,0.278961847492214,"2"
