"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
2959,1,"CDC Asterix AGL","3","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,130,130,146,158,"Mo16",4.18840579710145,0.007692,120,28,12,10.8,142.794844770304
3900,1,"CDC Asterix AGL","3","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,27,122,122,139,145,"Ne16",3.82105263157895,0.008197,95,23,19.2,11,100.46712085964
6454,1,"CDC Asterix AGL","2","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,49,49,62,80,"Ro17",3.78260869565217,0.020408,40,31,17.5,16.4,48.6625898230304
5403,1,"CDC Asterix AGL","1","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,15,55,55,74,90,"Su17",3.88,0.018182,40,35,15.7,16.1,51.8301980029644
5588,1,"CDC Asterix AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,10,56,56,72,90,"Su17",4.04,0.017857,46,34,15.7,16.1,51.8301980029644
5958,1,"CDC Asterix AGL","3","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,11,53,53,72,89,"Su17",3.56,0.018868,42,36,15.7,16.1,51.8301980029644
2210,1,"CDC Asterix AGL","1","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,133,133,140,154,"Sp17",4.42857142857143,0.007519,112,21,11.7,11.1,132.990513343381
2493,1,"CDC Asterix AGL","2","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,132,132,140,154,"Sp17",4.3469387755102,0.007576,111,22,11.7,11.1,132.990513343381
2912,1,"CDC Asterix AGL","3","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,134,134,140,154,"Sp17",4.51020408163265,0.007463,113,20,11.7,11.1,132.990513343381
2196,1,"CDC Asterix AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,28,133,133,151,159,"Ne17",4.30275229357798,0.007519,105,26,19.4,10.8,104.065648863531
2485,1,"CDC Asterix AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,23,124,124,144,153,"Ne17",3.97247706422018,0.008065,101,29,19.4,10.8,104.065648863531
2814,1,"CDC Asterix AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,24,127,127,148,156,"Ne17",4.08256880733945,0.007874,103,29,19.4,10.8,104.065648863531
1254,1,"CDC Asterix AGL","1","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,125,125,140,169,"Mo17",3.86567164179104,0.008,112,44,11.8,11.5,119.277585663163
1581,1,"CDC Asterix AGL","2","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,123,123,140,166,"Mo17",3.74626865671642,0.00813,110,43,11.8,11.5,119.277585663163
1892,1,"CDC Asterix AGL","3","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,123,123,140,166,"Mo17",3.74626865671642,0.00813,110,43,11.8,11.5,119.277585663163
260,1,"CDC Asterix AGL","1","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,144,144,163,174,"It17",4.36842105263158,0.006944,121,30,11.2,10.8,148.780839871265
509,1,"CDC Asterix AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,146,146,165,174,"It17",4.50877192982456,0.006849,123,28,11.2,10.8,148.780839871265
697,1,"CDC Asterix AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,22,143,143,152,175,"It17",4.29824561403509,0.006993,121,32,11.2,10.8,148.780839871265
2088,1,"CDC Asterix AGL","1","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,62,62,79,99,"Us18",3.13333333333333,0.016129,44,37,15.8,14.3,64.1134195988421
2875,1,"CDC Asterix AGL","3","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,21,60,60,77,93,"Us18",2.86666666666667,0.016667,39,33,15.8,14.3,64.1134195988421
210,1,"CDC Asterix AGL","1","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,7,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,107.209168268751
745,1,"CDC Asterix AGL","2","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,6,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,107.209168268751
929,1,"CDC Asterix AGL","3","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,5,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,107.209168268751
3303,1,"CDC Asterix AGL","1","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-14,27,124,124,NA,NA,"Ne16",3.90526315789474,0.008065,97,NA,19.2,11,100.46712085964
3584,1,"CDC Asterix AGL","2","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-15,26,123,123,NA,NA,"Ne16",3.86315789473684,0.00813,97,NA,19.2,11,100.46712085964
6207,1,"CDC Asterix AGL","1","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,49,49,61,NA,"Ro17",3.78260869565217,0.020408,40,NA,17.5,16.4,48.6625898230304
6826,1,"CDC Asterix AGL","3","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,48,48,61,NA,"Ro17",3.60869565217391,0.020833,39,NA,17.5,16.4,48.6625898230304
216,1,"CDC Asterix AGL","1","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,94,94,NA,NA,"Ba17",4.21311475409836,0.010638,88,NA,21.7,11,92.3020121838656
621,1,"CDC Asterix AGL","2","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,90,90,NA,NA,"Ba17",3.95081967213115,0.011111,84,NA,21.7,11,92.3020121838656
663,1,"CDC Asterix AGL","3","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,93,93,NA,NA,"Ba17",4.14754098360656,0.010753,87,NA,21.7,11,92.3020121838656
1265,1,"CDC Asterix AGL","1","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,8,83,83,NA,NA,"In17",4.82978723404255,0.012048,75,NA,20.6,10.7,101.78486414491
1927,1,"CDC Asterix AGL","3","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,6,72,72,NA,NA,"In17",3.8936170212766,0.013889,66,NA,20.6,10.7,101.78486414491
5255,1,"CDC Asterix AGL","1","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,108.90072361665
5684,1,"CDC Asterix AGL","2","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,108.90072361665
