"Entry","Name","Expt","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
3,"3156-11 AGL","Jessore, Bangladesh 2016",90.6666666666667,0.0110296666666667,18.6,10.8,0.00988687209779594,101.144223381116
3,"3156-11 AGL","Jessore, Bangladesh 2017",88,0.011364,21.7,11,0.0113238957724069,88.3088311742247
3,"3156-11 AGL","Bardiya, Nepal 2016",122.333333333333,0.00817466666666667,19.2,11,0.0104222357399784,95.9487028454101
3,"3156-11 AGL","Bardiya, Nepal 2017",125.333333333333,0.00798333333333333,19.4,10.8,0.0101754033081731,98.2762028898433
3,"3156-11 AGL","Cordoba, Spain 2016",120,0.00834966666666667,12.5,10.9,0.00784630423587012,127.448537545665
3,"3156-11 AGL","Cordoba, Spain 2017",130.333333333333,0.00767266666666667,11.7,11.1,0.00787673825989259,126.956103783704
3,"3156-11 AGL","Marchouch, Morocco 2016",129.333333333333,0.007732,12,10.8,0.00750648961218461,133.218062192052
3,"3156-11 AGL","Marchouch, Morocco 2017",127,0.007874,11.8,11.5,0.00855073512998895,116.949009038161
3,"3156-11 AGL","Metaponto, Italy 2016",134,0.007463,10.6,10.9,0.00716104261122444,139.644469987173
3,"3156-11 AGL","Metaponto, Italy 2017",145.666666666667,0.006865,11.2,10.8,0.00721795840180748,138.54333099919
4,"CDC Greenstar AGL","Rosthern, Canada 2016",50.6666666666667,0.0197586666666667,17.2,16.1,0.0192073056684431,52.0635229772474
4,"CDC Greenstar AGL","Rosthern, Canada 2017",50.6666666666667,0.019749,17.5,16.4,0.0198465521910848,50.3865855576269
4,"CDC Greenstar AGL","Sutherland, Canada 2016",56,0.017857,16.7,15.9,0.0186509785999506,53.6164895928115
4,"CDC Greenstar AGL","Sutherland, Canada 2017",56.6666666666667,0.0176516666666667,15.7,16.1,0.0185564920681196,53.8894957262972
4,"CDC Greenstar AGL","Sutherland, Canada 2018",50,0.02,17.6,16.1,0.0193808559618627,51.5973082906031
4,"CDC Greenstar AGL","Central Ferry, USA 2018",59.6666666666667,0.0167766666666667,15.8,14.3,0.0155453768260124,64.3278069867488
4,"CDC Greenstar AGL","Bhopal, India 2016",NA,0.011628,17.6,10.9,0.0105567367171942,94.7262422838732
4,"CDC Greenstar AGL","Bhopal, India 2017",68,0.014706,20.6,10.7,0.0115189747161231,86.8132819668664
4,"CDC Greenstar AGL","Jessore, Bangladesh 2016",85.6666666666667,0.0116756666666667,18.6,10.8,0.0108209178498842,92.4136024201222
4,"CDC Greenstar AGL","Jessore, Bangladesh 2017",80.3333333333333,0.0124486666666667,21.7,11,0.012505321825604,79.9659548107392
4,"CDC Greenstar AGL","Bardiya, Nepal 2016",118,0.008507,19.2,11,0.0114206324917316,87.5608247375082
4,"CDC Greenstar AGL","Bardiya, Nepal 2017",121,0.00827033333333333,19.4,10.8,0.0111680184367234,89.5413994582727
4,"CDC Greenstar AGL","Cordoba, Spain 2016",111,0.00901066666666667,12.5,10.9,0.00834397047609447,119.84702041612
4,"CDC Greenstar AGL","Cordoba, Spain 2017",124,0.008065,11.7,11.1,0.00833625909097331,119.957883876573
4,"CDC Greenstar AGL","Marchouch, Morocco 2016",119.666666666667,0.00835666666666667,12,10.8,0.00795733800846097,125.670167452571
4,"CDC Greenstar AGL","Marchouch, Morocco 2017",116.333333333333,0.00859666666666667,11.8,11.5,0.00905842506776424,110.394466203474
4,"CDC Greenstar AGL","Metaponto, Italy 2016",129.333333333333,0.007735,10.6,10.9,0.00751960658235142,132.985680706622
4,"CDC Greenstar AGL","Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,0.0076102374216218,131.401945116568
5,"CDC Cherie AGL","Rosthern, Canada 2016",49,0.0204136666666667,17.2,16.1,0.0201421289237243,49.6471849518426
5,"CDC Cherie AGL","Rosthern, Canada 2017",47.6666666666667,0.020981,17.5,16.4,0.0208375614665393,47.9902603577576
5,"CDC Cherie AGL","Sutherland, Canada 2016",51,0.019628,16.7,15.9,0.0195585438204153,51.1285507337308
5,"CDC Cherie AGL","Sutherland, Canada 2017",54.3333333333333,0.0184106666666667,15.7,16.1,0.019542311883229,51.171018351119
5,"CDC Cherie AGL","Sutherland, Canada 2018",47.6666666666667,0.0209873333333333,17.6,16.1,0.0203020801345231,49.2560364934984
5,"CDC Cherie AGL","Central Ferry, USA 2018",61,0.0163963333333333,15.8,14.3,0.0161294848776332,61.9982601792016
5,"CDC Cherie AGL","Bhopal, India 2016",NA,0.011628,17.6,10.9,0.0103272817994474,96.8309008526824
5,"CDC Cherie AGL","Bhopal, India 2017",67.3333333333333,0.0149326666666667,20.6,10.7,0.0111432697906275,89.7402664378715
5,"CDC Cherie AGL","Jessore, Bangladesh 2016",97.5,0.0102565,18.6,10.8,0.010535336781539,94.9186552585859
5,"CDC Cherie AGL","Jessore, Bangladesh 2017",87,0.0115066666666667,21.7,11,0.0121586047550401,82.246279087695
5,"CDC Cherie AGL","Bardiya, Nepal 2016",122.5,0.0081635,19.2,11,0.0111589096875478,89.6144899457249
5,"CDC Cherie AGL","Bardiya, Nepal 2017",125.333333333333,0.00797966666666667,19.4,10.8,0.0108552392031365,92.1214154093498
5,"CDC Cherie AGL","Cordoba, Spain 2016",112.333333333333,0.008906,12.5,10.9,0.00828790386176307,120.657770249192
5,"CDC Cherie AGL","Cordoba, Spain 2017",122.666666666667,0.008155,11.7,11.1,0.00835164752997614,119.736853885506
5,"CDC Cherie AGL","Marchouch, Morocco 2016",121,0.008264,12,10.8,0.00789614180335931,126.644128854748
5,"CDC Cherie AGL","Marchouch, Morocco 2017",117,0.008547,11.8,11.5,0.00915892751229704,109.183089248973
5,"CDC Cherie AGL","Metaponto, Italy 2016",126.333333333333,0.00792266666666667,10.6,10.9,0.00752813561046892,132.835014104868
5,"CDC Cherie AGL","Metaponto, Italy 2017",136.666666666667,0.00731966666666667,11.2,10.8,0.00757623938176177,131.991605546057
6,"CDC Glamis AGL","Rosthern, Canada 2016",52,0.0192633333333333,17.2,16.1,0.0189310403326519,52.8232987954295
6,"CDC Glamis AGL","Rosthern, Canada 2017",50,0.0200053333333333,17.5,16.4,0.0195701796880062,51.098151163776
6,"CDC Glamis AGL","Sutherland, Canada 2016",56,0.017857,16.7,15.9,0.0183887949917434,54.3809423319473
6,"CDC Glamis AGL","Sutherland, Canada 2017",59,0.0169593333333333,15.7,16.1,0.0183502781459569,54.4950867799422
6,"CDC Glamis AGL","Sutherland, Canada 2018",50,0.0200053333333333,17.6,16.1,0.0190859102491039,52.3946716163013
6,"CDC Glamis AGL","Central Ferry, USA 2018",63.3333333333333,0.0158033333333333,15.8,14.3,0.0152510741169783,65.5691522006799
6,"CDC Glamis AGL","Bhopal, India 2016",NA,0.011628,17.6,10.9,0.0100208036701726,99.7923951924686
