"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
663,1,"CDC Asterix AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.010753,93,0.0110664021703927,90.3636054973156
1265,1,"CDC Asterix AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.012048,83,0.0100729528187003,99.2757553816313
1927,1,"CDC Asterix AGL","3","Bhopal, India 2017","In17",20.6,10.7,0.013889,72,0.0100729528187003,99.2757553816313
5255,1,"CDC Asterix AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00945529339626519,105.760864109727
5684,1,"CDC Asterix AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00945529339626519,105.760864109727
6045,1,"CDC Asterix AGL","3","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00945529339626519,105.760864109727
5075,2,"CDC Rosie AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.018786419490688,53.2299409419488
5446,2,"CDC Rosie AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.018786419490688,53.2299409419488
5690,2,"CDC Rosie AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.018786419490688,53.2299409419488
1245,2,"CDC Rosie AGL","1","Metaponto, Italy 2016","It16",10.6,10.9,0.007812,128,0.00745029976211118,134.222787260929
1643,2,"CDC Rosie AGL","2","Metaponto, Italy 2016","It16",10.6,10.9,0.007812,128,0.00745029976211118,134.222787260929
1840,2,"CDC Rosie AGL","3","Metaponto, Italy 2016","It16",10.6,10.9,0.007812,128,0.00745029976211118,134.222787260929
1113,2,"CDC Rosie AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.1,0.018868,53,0.0186434772324974,53.638062660162
1504,2,"CDC Rosie AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.1,0.019231,52,0.0186434772324974,53.638062660162
1975,2,"CDC Rosie AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.1,0.019231,52,0.0186434772324974,53.638062660162
314,2,"CDC Rosie AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0181250059401345,55.1723957113683
