"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
10,"CDC KR-1 AGL","Metaponto, Italy 2017","It17",134.666666666667,0.007428,11.2,10.8,136.896986497442
11,"CDC LeMay AGL","Rosthern, Canada 2016","Ro16",49.6666666666667,0.0201413333333333,17.2,16.1,48.6619862105289
11,"CDC LeMay AGL","Rosthern, Canada 2017","Ro17",48.6666666666667,0.0205496666666667,17.5,16.4,47.0279263778877
11,"CDC LeMay AGL","Sutherland, Canada 2016","Su16",53.6666666666667,0.0186353333333333,16.7,15.9,50.3833255358235
11,"CDC LeMay AGL","Sutherland, Canada 2017","Su17",55.6666666666667,0.0179653333333333,15.7,16.1,51.4942937254708
11,"CDC LeMay AGL","Sutherland, Canada 2018","Su18",48,0.0208513333333333,17.6,16.1,47.9585638008761
11,"CDC LeMay AGL","Central Ferry, USA 2018","Us18",65.6666666666667,0.0152926666666667,15.8,14.3,60.3606095766068
11,"CDC LeMay AGL","Bhopal, India 2016","In16",81,0.012393,17.6,10.9,80.6907124989914
11,"CDC LeMay AGL","Bhopal, India 2017","In17",76,0.013158,20.6,10.7,69.7921074179484
11,"CDC LeMay AGL","Jessore, Bangladesh 2016","Ba16",84.6666666666667,0.0118116666666667,18.6,10.8,77.018644291221
11,"CDC LeMay AGL","Jessore, Bangladesh 2017","Ba17",86,0.0116353333333333,21.7,11,63.9176501577322
11,"CDC LeMay AGL","Bardiya, Nepal 2016","Ne16",117,0.008586,19.2,11,72.6675145822083
11,"CDC LeMay AGL","Bardiya, Nepal 2017","Ne17",126.666666666667,0.00789533333333333,19.4,10.8,73.601429222082
11,"CDC LeMay AGL","Cordoba, Spain 2016","Sp16",117,0.00855,12.5,10.9,116.959064327485
11,"CDC LeMay AGL","Cordoba, Spain 2017","Sp17",128.666666666667,0.00777366666666667,11.7,11.1,120.882485905476
11,"CDC LeMay AGL","Marchouch, Morocco 2016","Mo16",127.333333333333,0.00785366666666667,12,10.8,124.834983168224
