"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
33,"CN 105791 AGL",-0.0180169547903203,0.00082825832364317,0.00169555557845805,0.786216597122472,18,1.35242504621207e-10,3.67317606939265e-11,3.65416746463503e-16
34,"CN 105862 AGL",-0.0191589637198806,0.000318443175175419,0.0020986167380983,0.903156309897136,15,3.27205692753579e-22,1.75482284342564e-07,1.02529481069738e-31
35,"CN 105863 AGL",-0.0195905979855745,0.000257477048511572,0.00222804744212641,0.889545834686599,14,6.72812130359982e-22,1.22277138416686e-05,2.8622103787729e-33
36,"CN 105864 AGL",-0.0174983648256203,0.00023360491223763,0.00208677361824003,0.907630593359887,14,1.41199365226241e-21,1.25704977910932e-05,6.69798643419309e-34
37,"CN 105865 AGL",-0.0192283153720974,0.000281421919075534,0.00215566128772864,0.915735314151392,14,6.47943363188059e-24,2.04456374658321e-07,3.3463492156903e-35
38,"CN 105895 AGL",-0.0179663823879382,0.0005042626449919,0.00199103464746492,0.824525389175305,18,4.5246098558676e-16,1.42542129979903e-09,1.88880834086257e-25
39,"CN 106265 AGL",-0.0179867412491336,0.000370779994963415,0.00195373151730382,0.874910185906082,17,1.17401022697302e-17,2.14879915330649e-07,5.02509766161737e-27
40,"CN 108369 AGL",-0.0169136608116818,0.000423902966428132,0.00182736062106945,0.854301001218652,17,2.99587801730748e-18,4.73585649819652e-10,1.01708117183651e-27
41,"CN 108370 AGL",-0.0168858524913996,0.000477641170750192,0.00170806922137551,0.836765982667282,17,8.89295064702208e-17,2.20682717277427e-10,1.23095448750638e-24
42,"Crimson AGL",-0.0158538255355389,0.000511951286526586,0.00169547962703508,0.740064296011707,18,8.52350165428442e-10,2.23957364498614e-06,1.07763939327274e-16
43,"DPL 62 AGL",-0.0192151639849073,0.00055899038014595,0.002055467219043,0.79328318117294,18,5.12477589183073e-14,1.23936356092104e-08,1.45311684950554e-22
44,"Eston AGL",-0.0219574255855911,0.000400927673604543,0.00228222533988522,0.862463681322295,18,3.40766980453841e-22,1.50801153108237e-08,1.79369404739091e-30
45,"Gudo AGL",-0.0204471092787469,0.000272915699686723,0.00237586060873038,0.902556427238785,18,4.71215495831432e-23,2.97417368138372e-06,2.5941226598965e-33
46,"IG 1046 AGL",-0.0236979355067176,0.000474428140672156,0.00234920739764282,0.830266694049086,17,9.40830148393535e-20,3.78425053012884e-08,1.01554331346103e-27
47,"IG 1706 AGL",-0.0247476525251934,0.000407846239803799,0.0025077116280587,0.895438036256348,16,1.80887933796563e-27,3.87729195529316e-11,2.75124971113218e-36
48,"IG 1959 AGL",-0.022565775331704,0.000421041505028155,0.00233683069463197,0.81818134038106,17,9.93932696993387e-18,1.37340659707412e-06,4.03037773241763e-26
49,"IG 4258 AGL",-0.0201590240267937,0.000413797856184473,0.00225452815706294,0.842062020193643,18,1.82905654993725e-18,1.15031261192593e-07,1.19650880526351e-28
50,"IG 4781 AGL",-0.018444370624243,0.000363770587505456,0.00197200265095228,0.865149580367954,15,7.70859159137408e-20,6.42577531863376e-08,3.02386530902397e-28
51,"IG 858 AGL",-0.0227048978441098,0.000432600511634893,0.00231618547020533,0.848916353704223,18,1.12235929187282e-19,1.76370710310403e-07,2.63436174793397e-27
52,"ILL 10657 AGL",-0.0196110725764715,0.000501929699050402,0.00214365151743335,0.753843963397301,18,5.14239776659177e-14,2.49861528029424e-07,5.85746612281854e-23
53,"ILL 10748 AGL",-0.0143503526779832,0.00068490955763587,0.00151145285963145,0.783651969569439,18,6.3190591682953e-10,1.80595679278056e-10,4.98491589564179e-16
54,"ILL 11547 AGL",-0.0181850573897428,0.000609676865168284,0.00192254115558519,0.711621170742311,18,2.00019126811966e-11,2.75239752618096e-08,9.84037136128293e-19
55,"ILL 11548 AGL",-0.019546619111489,0.000694537807976417,0.00193009307794461,0.800479307300013,18,3.95982262084973e-13,4.19620693112113e-10,1.21321161326927e-19
56,"ILL 11553 AGL",-0.0184390005351374,0.000472680533534355,0.00206636352468769,0.782796978426079,18,2.49095596653461e-13,1.26912349857064e-06,1.00978703329983e-21
57,"ILL 11555 AGL",-0.0182787729724688,0.000639212686264989,0.00189825086601156,0.745322223933666,18,1.39718220873703e-11,9.97854643097635e-09,4.49779638538822e-19
58,"ILL 11557 AGL",-0.0183449413286121,0.000688697115164782,0.00184570881346531,0.774251730120393,18,2.25455391963786e-12,3.08814703520985e-10,2.19248280187295e-19
59,"ILL 11558 AGL",-0.0191735757282941,0.000656156887432322,0.00195175181376112,0.819319436181967,18,8.59445609411204e-15,3.76654992135987e-11,2.07577971341813e-22
60,"ILL 1220 AGL",-0.0230916837902369,0.000455859470258819,0.00232160412030067,0.867208643904845,17,3.00644646635283e-23,4.09802314533311e-10,7.54383801194904e-32
61,"ILL 1553 AGL",-0.0232393086889937,0.000508630993750298,0.00230980939068354,0.904442965961333,18,9.47334875660684e-23,1.82171273390905e-11,1.79704915538125e-30
62,"ILL 1762 AGL",-0.0211044662481581,0.00029130698976711,0.00230576728164683,0.912051337271056,14,6.77111290989878e-24,5.63039477467915e-07,2.22663291514978e-34
63,"ILL 1983 AGL",-0.0197669590140778,0.000371331760026334,0.00222280027346118,0.917399712901661,18,6.54801388239746e-24,6.5579359428343e-10,7.45088935997474e-34
64,"ILL 213 AGL",-0.0235331536703404,0.000331759784390627,0.00252906265412579,0.867351144651385,16,1.50497023585882e-27,6.32319930045166e-09,1.47304787189591e-37
65,"ILL 2194 AGL",-0.0220213645914262,0.000233737054425574,0.00250419450194565,0.915972619348134,17,4.36190789995075e-24,9.0591987321758e-05,3.13170047337749e-34
66,"PI 431893 LSP AGL",-0.0201048424526428,0.000646687375139464,0.00187187776327529,0.819851966823329,18,8.45544956605694e-15,3.38119753853298e-10,3.73564626199268e-20
67,"ILL 2507 AGL",-0.0188173693797656,0.000460180472960529,0.00210620109165316,0.813398276095494,18,3.58149295262016e-15,1.77179092565203e-07,1.55485430321842e-24
68,"ILL 2580 AGL",-0.0220572200140066,0.000359440747894815,0.00242761253806338,0.905238756425457,17,2.02855103182779e-24,9.2225668304912e-09,1.00767637925561e-34
69,"ILL 28 AGL",-0.0208650124805003,0.000256368600025043,0.00238602379108762,0.877254820895824,16,3.73197269869153e-22,4.27450165937538e-05,7.10127210142451e-33
70,"ILL 3025 AGL",-0.0203598293609526,0.000389712047068629,0.00229242440790601,0.901817741007013,18,1.88820468266462e-23,7.82713152116506e-10,2.20483826910487e-33
71,"ILL 313 AGL",-0.0221630432135983,0.000300407749604863,0.00242793429852212,0.924672333405883,16,3.86704458926914e-27,2.70421814038103e-08,7.00694442997528e-38
72,"ILL 3347 AGL",-0.0194085572259158,0.00044350969939926,0.00215554284063138,0.856442934713367,18,6.87125454111758e-18,1.95484419089196e-08,1.3603905014194e-27
73,"ILL 358 AGL",-0.0216066164793022,0.000317543353382431,0.00239924818872224,0.890231128604983,18,3.12461407963741e-25,3.46351899610028e-08,1.83781710507566e-35
74,"ILL 3597 AGL",-0.0218412905735371,0.000341608550166069,0.00244424268612243,0.919701644421671,18,5.10453541237323e-25,1.45784909013734e-08,5.99782408238624e-35
75,"ILL 4164 AGL",-0.0208800207673348,0.000230673654382693,0.00244702682681309,0.902986883650246,15,6.08973430160387e-25,1.54837795706031e-05,2.89086330091248e-37
76,"ILL 4400 AGL",-0.020119850909423,0.000314561562991299,0.00223228507960747,0.913819002665694,15,5.41190791992142e-24,4.22500713738374e-08,4.55126656249402e-35
77,"ILL 4605 AGL",-0.0150623466389037,0.000702909477690728,0.00155830140883925,0.74830044178213,18,4.46356805961535e-08,1.33407945125054e-08,7.23670590786217e-14
78,"ILL 4609 AGL",-0.021488283990868,0.000250723655874665,0.00242045632546801,0.905844063898479,16,2.22312166633693e-24,1.74163257250066e-05,2.32998190692045e-34
79,"ILL 4665 AGL",-0.0192344087311893,0.000366716973691605,0.00209499643935223,0.872039689001549,18,1.79033341715805e-19,1.95229214081243e-07,2.25594399571374e-28
80,"ILL 4671 AGL",-0.0188056360580967,0.000288310744224964,0.00214499024022395,0.90961924527158,15,1.44559968062598e-22,7.50367754994191e-07,8.67542829370337e-33
81,"ILL 4768 AGL",-0.0214530170398362,0.000424022805112501,0.00237823343503629,0.75765667768851,18,7.33790539470306e-16,3.65756407550584e-06,1.65615028499847e-25
82,"ILL 4782 AGL",-0.0219495282507457,0.000456955033427585,0.00238549754673568,0.794961754012826,18,1.30848652641042e-16,4.82851733369428e-07,1.0778638074397e-25
83,"ILL 4783 AGL",-0.0189518223085107,0.000363962478086061,0.00202285218852085,0.875195854545792,16,1.25177369132737e-20,2.2446824261055e-08,3.0629944305412e-30
84,"ILL 4804 AGL",-0.0217983467347554,0.000299310557485319,0.00242902857092829,0.903719399839806,17,2.63297329940701e-26,1.57538191430075e-08,2.45925248623189e-36
85,"ILL 4875 AGL",-0.0184376441758568,0.000392132344699152,0.00192219175416724,0.913308297963915,15,4.75361226340826e-23,3.38791987785459e-11,1.71675403385218e-32
86,"ILL 4956 AGL",-0.0199073040322353,0.000427004270440651,0.00204518349084723,0.902628566962232,17,7.05887314725023e-23,2.67230400640155e-11,3.01723634180517e-31
87,"ILL 5058 AGL",-0.017692095772298,0.00028681853726047,0.00199160319994674,0.875441370765633,14,8.58423445481331e-19,3.76212021976159e-06,1.0897984998532e-29
88,"ILL 5151 AGL",-0.0200060392465263,0.000241655647840128,0.00234433837215237,0.895359877426783,16,2.00345336790268e-23,2.2272438224226e-05,8.02991155332475e-35
89,"ILL 5209 AGL",-0.0202491452774489,0.000239165376440613,0.00238205302986806,0.857500888304321,17,4.11749360879369e-22,3.55487987911761e-05,2.26393171213495e-33
90,"ILL 5480 AGL",-0.0185208180651861,0.000418239583583518,0.00192858382973583,0.86070464943493,18,5.50430041196438e-20,8.76875018565087e-10,2.86714730573345e-28
91,"ILL 5639 AGL",-0.0208840878644192,0.000388979117347406,0.00225118217151863,0.777875970993209,17,6.84555541535351e-17,3.06502660182995e-06,5.5971648277495e-26
92,"ILL 5722 AGL",-0.0232284461484013,0.000706992243054429,0.00215621066434147,0.852055391035446,18,1.21022376266256e-17,6.8161107145704e-12,3.54816668602602e-24
93,"ILL 5883 AGL",-0.0213867857354492,0.000272222434537201,0.00243773785968178,0.862576160306879,17,6.04470028501588e-24,2.31144655179154e-06,5.13968925300464e-35
94,"ILL 5888 AGL",-0.0147995793469232,0.00143477920764799,0.000908451322347182,0.833450740093063,18,2.43771528008347e-05,2.75778113302506e-13,5.85412795355547e-05
95,"ILL 5945 AGL",-0.0199300322403029,0.000458934638062663,0.00222340158637583,0.777258891447252,18,6.33461640912667e-15,6.80944920661658e-07,1.07939544897806e-24
96,"ILL 6002 AGL",-0.01516218735229,0.000716981925804834,0.00156971933358531,0.766835169593439,18,2.02404498485165e-09,4.13639516566419e-10,5.60988175243982e-16
97,"ILL 618 AGL",-0.0229278061216209,0.000474464401844984,0.00230099282065714,0.889929820417472,18,1.09747949910915e-23,1.90355877241671e-11,6.11503938582768e-32
98,"ILL 6182 AGL",-0.0198710101669989,0.000281191678196786,0.00231552130619385,0.877547651154921,17,2.18958925467101e-22,3.30912052337513e-06,3.77301494642615e-33
99,"ILL 6211 AGL",-0.0144929866372529,0.000646723882669773,0.00155324243834445,0.755623789440803,18,3.71555153955119e-10,2.44409003623998e-10,3.4356069361268e-17
100,"ILL 624 AGL",-0.0199729477232212,0.000388260864758867,0.00210954950787307,0.890374191282038,17,3.64433301368819e-24,8.00982635290324e-11,2.11730184942023e-33
101,"ILL 6821 AGL",-0.0210263811438123,0.000186790103905674,0.0024958486719422,0.905982786387465,14,1.74481117188422e-24,0.000450645782951954,4.89281982358625e-37
102,"ILL 6853 AGL",-0.0183359740864832,0.00022018104317204,0.00221933443771185,0.859214674566999,16,8.12635905462708e-20,0.000310911066092412,3.68967951000938e-31
103,"ILL 7089 AGL",-0.0240472451085523,0.000501410317952456,0.00237697895045832,0.890360921266476,17,3.6259943356478e-24,1.60892811008905e-11,5.37325853130816e-32
104,"ILL 7558 AGL",-0.0150933444894989,0.000624419760303687,0.00162255638642809,0.771291607049876,18,1.4132658316331e-10,3.13392991504476e-09,8.62877507736424e-18
105,"ILL 7663 AGL",-0.0147904120046845,0.00120417917491483,0.00110442415664973,0.776630028471724,18,1.87338860235631e-05,3.59682485476293e-11,1.53305070662213e-06
106,"ILL 7668 AGL",-0.0193372195994882,0.000482342408600318,0.00208680836982452,0.846839867315626,18,1.45061534011796e-18,8.20646104985011e-10,4.69303075752055e-28
107,"ILL 7716 AGL",-0.0147970445192044,0.000739326537285287,0.00148964397895871,0.766893639632908,18,4.53990346981692e-09,1.71098666495031e-10,7.10177432213907e-15
108,"ILL 7747 AGL",-0.0196707800487576,0.000217295384929099,0.00232972131853641,0.891304342286036,15,5.28878845244353e-23,0.000131233470742599,1.24062705092646e-34
109,"ILL 7946 AGL",-0.0215166961616575,0.00029556596698725,0.00243353031990727,0.87244322728803,17,6.82578223398554e-24,7.8677671078511e-07,2.31026150729319e-35
110,"ILL 7978 AGL",-0.0186894320233085,0.000452081057218659,0.00212740585904439,0.723003824389461,18,2.05565465014074e-12,6.09352132029141e-06,1.17897197316658e-21
111,"ILL 7979 AGL",-0.0179068946474093,0.000420999663922738,0.00206607264702714,0.796025174064316,18,2.79795309172586e-14,1.46320525883655e-06,3.28198504716241e-24
112,"ILL 8007 AGL",-0.0204193704837668,0.000681831503426358,0.00205686935637666,0.873897660093418,18,1.25365317714408e-16,4.71598269745204e-12,2.93062906653339e-24
113,"ILL 8009 AGL",-0.0203640283580865,0.000602747759143588,0.00210608102355339,0.792358294586662,18,3.58660763118648e-14,6.23686477347415e-09,3.94727753019416e-22
114,"ILL 8010 AGL",-0.0196101507152564,0.000610279477481163,0.00201514040555128,0.820139738259112,18,7.0913683238804e-14,3.55168730202038e-09,1.34384101972459e-21
115,"ILL 8072 AGL",-0.0216153612966226,0.000260085028261356,0.00243859135550665,0.886376758486286,15,1.24426131412021e-22,3.23184634474989e-05,1.55487150954276e-33
116,"ILL 8174 AGL",-0.0208623589937913,0.000560747112036434,0.00204546629069195,0.738632959114379,18,2.94555574867272e-11,4.62463121536504e-06,3.48183456061549e-17
117,"ILL 8595 AGL",-0.0219785292017521,0.000692340394116042,0.00201721255739916,0.75601718881048,18,1.9552514187591e-13,4.54505652740778e-09,4.36145374626016e-19
118,"ILL 9 AGL",-0.0222163666631239,0.000513476896646006,0.00230150494951697,0.769124240401668,18,8.79780217282187e-16,2.02097876292947e-07,7.41287163351573e-24
119,"ILL 975 AGL",-0.0204396158868674,0.000181432638793267,0.00247806836848727,0.903653349244125,16,3.33717205293655e-25,0.000213661703191368,4.31199169980829e-38
120,"ILL 9888 AGL",-0.0225902483844708,0.000405357920705274,0.00241776169032711,0.790782732891438,18,9.37892732072315e-18,2.17850342411375e-06,2.4078908859008e-26
121,"ILL 9932 AGL",-0.0209827975098885,0.000441902643071973,0.00227901785453035,0.804413719054419,18,2.70572494858363e-16,6.66861243139956e-07,2.25214128977456e-25
122,"ILL 9945 AGL",-0.0215702929761722,0.000324165266173647,0.00247132406288596,0.908857641437042,17,1.11153403691175e-25,9.56766353744969e-09,1.27011663814039e-36
123,"ILL 9977 AGL",-0.0206749559317034,0.000482482034090732,0.00224109167277995,0.778603297614467,18,6.63241306356477e-15,4.76437387098498e-07,6.5305553570009e-24
124,"ILL 9997 AGL",-0.0183085730493315,0.000563754170034778,0.0019718636285713,0.773877294974003,18,8.25547810043808e-13,2.53561234738923e-08,2.43258105333836e-21
125,"ILWL 118 AGL",-0.0183029545225533,0.000483372749498592,0.00195277091991105,0.805937717794946,18,3.41352743842575e-13,7.79286858747917e-07,1.06859353231267e-20
126,"Indianhead AGL",-0.0136974205083759,0.000360764686371985,0.00153944700997474,0.878738504513271,15,5.51981803179994e-17,2.8788479394899e-09,3.25580567457624e-26
127,"IPL 220 AGL",-0.0198732397708395,0.000602337707820429,0.0020792442032301,0.77241354443367,18,2.78076884727517e-13,1.71728876088169e-08,5.1374135320359e-21
128,"Laird AGL",-0.0149333661312725,0.000505862031012075,0.00154994937884329,0.843652366343831,18,1.52929050532199e-15,1.72817098720969e-11,2.09263652027968e-23
129,"LIRL-22-46 AGL",-0.0148880493861413,0.00089239626172543,0.00138701720111609,0.754738417665034,18,9.74518760480238e-06,1.99799067001245e-08,4.20085951657052e-09
130,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33
131,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26
132,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35
133,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,16,2.8502379341031e-22,3.14848013141314e-06,3.81250912157249e-32
134,"PI 178939 LSP AGL",-0.0201209561847004,0.000411569887872298,0.00208345734781349,0.839924126593409,17,4.7548984818593e-20,1.86050472345281e-08,2.36356228860819e-28
135,"PI 178952 AGL",-0.0225236690602488,0.000475786632888823,0.00226557112542635,0.875333657411777,17,2.30941325641461e-22,1.54693525107044e-10,3.11170935453263e-31
136,"PI 178971 LSP AGL",-0.0197807286060851,0.000391513736101889,0.00209310216933738,0.913482618237885,16,3.21678530832056e-24,6.04137762952375e-11,2.56331703033556e-34
137,"PI 179324 LSP AGL",-0.0213205125883069,0.000280008373048357,0.00234958917060698,0.900200181012973,14,3.95829857272691e-23,3.23111631132644e-06,2.02402405832089e-33
138,"PI 179330 AGL",-0.0216999699220974,0.000342787236908318,0.00231248768325285,0.908999194381872,18,1.59669108263376e-25,4.17435707567209e-09,2.70720921345824e-34
139,"PI 181771 LSP AGL",-0.0194530208282381,0.000378491516962169,0.00208162783725879,0.927303686737713,16,3.52161316364668e-26,3.4400218105184e-12,2.06280373472892e-36
140,"PI 181886 LSP AGL",-0.0194841452977346,0.000225028168116049,0.00229650460883919,0.885142866491258,15,6.88443993986734e-23,5.54522849378957e-05,8.86681642046751e-35
141,"PI 182217 LSP AGL",-0.022238081907373,0.000424118695981321,0.00229180065703712,0.870988078659205,18,2.13252352838562e-20,3.49410734464959e-08,3.08469123049647e-28
142,"PI 193546 AGL",-0.0206876608716395,0.000224522140652953,0.00239189079269312,0.900565178799617,14,5.04510857245188e-24,3.56371155541207e-05,1.08271163830527e-35
143,"PI 193547 LSP AGL",-0.0177369788910899,0.000305366778203769,0.00201304383317579,0.902645778926429,17,9.64407860453826e-23,3.91715833369676e-08,5.12556258463664e-33
144,"PI 193548 LSP AGL",-0.0204797593876544,0.000471508143188816,0.00226106153702189,0.778111908553369,18,5.96420689653094e-16,1.65514039038205e-07,1.57324919150621e-25
145,"PI 193550 AGL",-0.0202824854103844,0.000576916003392337,0.00214912167777662,0.736122746634573,18,5.19134371128354e-14,2.38112547562974e-08,1.44731202120668e-22
146,"PI 207492 LSP AGL",-0.020181448067124,0.000386293074048228,0.00213628887445395,0.906853124158252,16,1.44141907168312e-23,3.05314973380133e-10,4.48941959419303e-33
147,"PI 518731 LSP AGL",-0.0206144908253737,0.000441395567755508,0.00211638009406181,0.837785208637043,17,3.91031023568093e-20,2.97347441345497e-09,6.6320483844253e-29
148,"PI 209858 LSP AGL",-0.0144323051912887,0.000260543912350971,0.0017357489593109,0.85729424080438,13,2.51534301900797e-17,4.25742927696183e-06,3.96310522641042e-29
149,"PI 211052 LSP AGL",-0.0221660824339345,0.000349334908103544,0.00232848091657744,0.927751423805625,15,6.60565873059757e-25,7.83402709498933e-09,9.13554967884865e-35
150,"PI 212100 LSP AGL",-0.0205779133557565,0.000346921596644838,0.0022023969741698,0.923787976880573,15,5.12528829106805e-27,6.1784610447797e-11,4.46811292434219e-37
151,"PI 212610 LSP AGL",-0.0193018449580201,0.000366906433260782,0.00207493405241,0.918117891195627,16,7.96808384278011e-25,6.12845990112238e-11,9.3716889259675e-35
152,"PI 217949 LSP AGL",-0.0222699337626555,0.000330704372278545,0.0024773069912928,0.874278127287871,17,8.88996964322158e-22,1.15187590038857e-06,3.83365142330567e-32
153,"PI 238758 LSP AGL",-0.0198476404514563,0.000615691505965745,0.00187581345218537,0.788559789035951,18,1.6302281682723e-14,1.10489618199134e-09,6.87839045556358e-21
154,"PI 244046 AGL",-0.0201484929378288,0.000760250628323902,0.00198342993793585,0.815926830896835,18,1.19074500905322e-13,2.10810857817519e-11,9.46287742412548e-21
155,"PI 250156 LSP AGL",-0.0218359055931444,0.0003001937811228,0.00241878345420544,0.891963792608388,16,4.1418400003445e-24,5.7850325947805e-07,1.59840142304007e-34
156,"PI 250158 LSP AGL",-0.0187254890551796,0.0004931437471827,0.00209246092215223,0.763155365635789,18,4.41736613026575e-13,4.91375507910381e-07,3.46001619972726e-22
157,"PI 251248 LSP AGL",-0.0219778201398805,0.000817076957689133,0.00209756444950693,0.845796709901107,18,4.92197008093941e-12,1.35266742783546e-09,5.72087566596171e-18
158,"PI 273664 LSP AGL",-0.0218504674670705,0.000308021320678376,0.00234278192802109,0.898993581395567,14,8.18578202249427e-24,3.3364075047224e-07,8.61792580488144e-34
159,"PI 280686 AGL",-0.0194114395385622,0.000550191690012394,0.00205930835205174,0.782402052620973,18,4.25227301012346e-13,1.06036301815361e-07,3.0104230483374e-21
160,"PI 283604 LSP AGL",-0.0184694767357988,0.000257481713632714,0.00213224110984948,0.916587045059698,16,1.79342575564665e-21,3.11554836757128e-05,4.23555923314534e-31
161,"PI 289066 AGL",-0.0145415314850164,0.000263817459418178,0.00174514419267507,0.826297133120223,14,1.03667559035646e-15,1.6321901239603e-05,3.18752866849494e-26
162,"PI 289073 LSP AGL",-0.0188522531454353,0.000361896105212249,0.00203684192599084,0.916484528845721,17,1.78443413278095e-24,2.22336856941053e-10,2.94529740022373e-34
163,"PI 289079 LSP AGL",-0.0181781521083829,0.00032413037983315,0.00200065355693414,0.943878830706921,16,4.75241167982176e-22,3.27801331317013e-08,9.47904673224269e-32
