"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
3,"3156-11 AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00798333333333333,19.4,10.8,0.0101280052300353,98.7361259485169
3,"3156-11 AGL","Cordoba, Spain 2016","Sp16",120,0.00834966666666667,12.5,10.9,0.00792938242432494,126.113226287624
3,"3156-11 AGL","Cordoba, Spain 2017","Sp17",130.333333333333,0.00767266666666667,11.7,11.1,0.00783088977302033,127.699409516054
3,"3156-11 AGL","Marchouch, Morocco 2016","Mo16",129.333333333333,0.007732,12,10.8,0.00766267694436402,130.502696023941
3,"3156-11 AGL","Marchouch, Morocco 2017","Mo17",127,0.007874,11.8,11.5,0.00823114995272723,121.489707482327
3,"3156-11 AGL","Metaponto, Italy 2016","It16",134,0.007463,10.6,10.9,0.00727087797502826,137.534972177293
3,"3156-11 AGL","Metaponto, Italy 2017","It17",145.666666666667,0.006865,11.2,10.8,0.00739615496753469,135.205387716927
4,"CDC Greenstar AGL","Rosthern, Canada 2016","Ro16",50.6666666666667,0.0197586666666667,17.2,16.1,0.019282786664872,51.8597242908738
4,"CDC Greenstar AGL","Rosthern, Canada 2017","Ro17",50.6666666666667,0.019749,17.5,16.4,0.0199964164628345,50.0089604484188
4,"CDC Greenstar AGL","Sutherland, Canada 2016","Su16",56,0.017857,16.7,15.9,0.0186173012903933,53.7134778237709
4,"CDC Greenstar AGL","Sutherland, Canada 2017","Su17",56.6666666666667,0.0176516666666667,15.7,16.1,0.018299161463458,54.6473127742449
4,"CDC Greenstar AGL","Sutherland, Canada 2018","Su18",50,0.02,17.6,16.1,0.0195450867185824,51.1637535508735
4,"CDC Greenstar AGL","Central Ferry, USA 2018","Us18",59.6666666666667,0.0167766666666667,15.8,14.3,0.0153970464633323,64.947521096431
4,"CDC Greenstar AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.0105626774426858,94.6729657727512
4,"CDC Greenstar AGL","Bhopal, India 2017","In17",68,0.014706,20.6,10.7,0.0114764230405404,87.1351636714251
4,"CDC Greenstar AGL","Jessore, Bangladesh 2016","Ba16",85.6666666666667,0.0116756666666667,18.6,10.8,0.0108140503022755,92.4722904044174
4,"CDC Greenstar AGL","Jessore, Bangladesh 2017","Ba17",80.3333333333333,0.0124486666666667,21.7,11,0.0125101116608858,79.9353376778091
4,"CDC Greenstar AGL","Bardiya, Nepal 2016","Ne16",118,0.008507,19.2,11,0.0114279802107157,87.5045267458837
4,"CDC Greenstar AGL","Bardiya, Nepal 2017","Ne17",121,0.00827033333333333,19.4,10.8,0.0111533395018842,89.659245092563
4,"CDC Greenstar AGL","Cordoba, Spain 2016","Sp16",111,0.00901066666666667,12.5,10.9,0.00837741903975962,119.36850660734
4,"CDC Greenstar AGL","Cordoba, Spain 2017","Sp17",124,0.008065,11.7,11.1,0.00832853831248291,120.069088053685
4,"CDC Greenstar AGL","Marchouch, Morocco 2016","Mo16",119.666666666667,0.00835666666666667,12,10.8,0.0080149144055039,124.767396057691
4,"CDC Greenstar AGL","Marchouch, Morocco 2017","Mo17",116.333333333333,0.00859666666666667,11.8,11.5,0.00896181864973871,111.584494072434
4,"CDC Greenstar AGL","Metaponto, Italy 2016","It16",129.333333333333,0.007735,10.6,10.9,0.00756330316415968,132.217363008627
