"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
663,1,"CDC Asterix AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.010753,93,0.0110554325380476,90.4532677991993
1265,1,"CDC Asterix AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.012048,83,0.00991820020466114,100.824744345253
1927,1,"CDC Asterix AGL","3","Bhopal, India 2017","In17",20.6,10.7,0.013889,72,0.00991820020466114,100.824744345253
5255,1,"CDC Asterix AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00946626939857909,105.63823591901
5684,1,"CDC Asterix AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00946626939857909,105.63823591901
6045,1,"CDC Asterix AGL","3","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00946626939857909,105.63823591901
5075,2,"CDC Rosie AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0194387254468409,51.4437020438764
5446,2,"CDC Rosie AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0194387254468409,51.4437020438764
5690,2,"CDC Rosie AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0194387254468409,51.4437020438764
1245,2,"CDC Rosie AGL","1","Metaponto, Italy 2016","It16",10.6,10.8,0.007812,128,0.00762161662065731,131.205759850166
1643,2,"CDC Rosie AGL","2","Metaponto, Italy 2016","It16",10.6,10.8,0.007812,128,0.00762161662065731,131.205759850166
1840,2,"CDC Rosie AGL","3","Metaponto, Italy 2016","It16",10.6,10.8,0.007812,128,0.00762161662065731,131.205759850166
1113,2,"CDC Rosie AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018868,53,0.0190858639104545,52.3947988255453
1504,2,"CDC Rosie AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.2,0.019231,52,0.0190858639104545,52.3947988255453
1975,2,"CDC Rosie AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.2,0.019231,52,0.0190858639104545,52.3947988255453
314,2,"CDC Rosie AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0179215242422653,55.798825283044
613,2,"CDC Rosie AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.017544,57,0.0179215242422653,55.798825283044
928,2,"CDC Rosie AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.016949,59,0.0179215242422653,55.798825283044
4190,2,"CDC Rosie AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008475,118,0.00829166616301514,120.603022401033
4505,2,"CDC Rosie AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00829166616301514,120.603022401033
4771,2,"CDC Rosie AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00829166616301514,120.603022401033
2396,2,"CDC Rosie AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00805269066608814,124.182095335072
2533,2,"CDC Rosie AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00805269066608814,124.182095335072
3008,2,"CDC Rosie AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00805269066608814,124.182095335072
3618,2,"CDC Rosie AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.007874,127,0.0106952730281082,93.4992493760471
2088,2,"CDC Rosie AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008264,121,0.0081696019342242,122.404984728912
2411,2,"CDC Rosie AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008264,121,0.0081696019342242,122.404984728912
2823,2,"CDC Rosie AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.0081696019342242,122.404984728912
2028,2,"CDC Rosie AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008,125,0.0103312249062225,96.7939435136775
2361,2,"CDC Rosie AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0103312249062225,96.7939435136775
2694,2,"CDC Rosie AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008065,124,0.0103312249062225,96.7939435136775
1250,2,"CDC Rosie AGL","1","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008333,120,0.00849279031419914,117.746931574196
1435,2,"CDC Rosie AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00849279031419914,117.746931574196
1776,2,"CDC Rosie AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00849279031419914,117.746931574196
400,2,"CDC Rosie AGL","2","Metaponto, Italy 2017","It17",11.2,10.8,0.007194,139,0.00780636264012766,128.100633560068
699,2,"CDC Rosie AGL","3","Metaponto, Italy 2017","It17",11.2,10.8,0.007246,138,0.00780636264012766,128.100633560068
2417,2,"CDC Rosie AGL","2","Central Ferry, USA 2018","Us18",15.8,14.3,0.015152,66,0.0144014916427148,69.4372516964841
383,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011236,89,0.010084896880262,99.1581780035035
443,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011111,90,0.010084896880262,99.1581780035035
1008,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011364,88,0.010084896880262,99.1581780035035
3952,2,"CDC Rosie AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0106952730281082,93.4992493760471
6389,2,"CDC Rosie AGL","1","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0198480119244795,50.3828798473591
6463,2,"CDC Rosie AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0198480119244795,50.3828798473591
6846,2,"CDC Rosie AGL","3","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0198480119244795,50.3828798473591
