"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
5134,1,"CDC Asterix AGL","1","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,13,47,47,70,89,"Su18",2.81818181818182,0.021277,34,42,17.6,16.1,48.4570205497967
5635,1,"CDC Asterix AGL","2","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,14,50,50,71,92,"Su18",3.36363636363636,0.02,36,42,17.6,16.1,48.4570205497967
5762,1,"CDC Asterix AGL","3","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,13,47,47,71,93,"Su18",2.81818181818182,0.021277,34,46,17.6,16.1,48.4570205497967
387,1,"CDC Asterix AGL","1","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,15,53,53,71,96,"Su16",3.2,0.018868,38,43,16.7,15.9,50.2340335487112
506,1,"CDC Asterix AGL","2","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,11,54,54,71,102,"Su16",3.4,0.018519,43,48,16.7,15.9,50.2340335487112
754,1,"CDC Asterix AGL","3","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,54,54,76,100,"Su16",3.4,0.018519,41,46,16.7,15.9,50.2340335487112
5403,1,"CDC Asterix AGL","1","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,15,55,55,74,90,"Su17",3.88,0.018182,40,35,15.7,16.1,49.9854388042217
5588,1,"CDC Asterix AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,10,56,56,72,90,"Su17",4.04,0.017857,46,34,15.7,16.1,49.9854388042217
5958,1,"CDC Asterix AGL","3","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,11,53,53,72,89,"Su17",3.56,0.018868,42,36,15.7,16.1,49.9854388042217
1142,1,"CDC Asterix AGL","1","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,143,143,164,179,"It16",4.08771929824561,0.006993,119,36,10.6,10.9,142.771746153567
1450,1,"CDC Asterix AGL","2","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,133,133,158,175,"It16",3.3859649122807,0.007519,109,42,10.6,10.9,142.771746153567
1949,1,"CDC Asterix AGL","3","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-30,23,134,134,155,170,"It16",3.45614035087719,0.007463,111,36,10.6,10.9,142.771746153567
260,1,"CDC Asterix AGL","1","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,144,144,163,174,"It17",4.36842105263158,0.006944,121,30,11.2,10.8,142.694524121323
509,1,"CDC Asterix AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,146,146,165,174,"It17",4.50877192982456,0.006849,123,28,11.2,10.8,142.694524121323
697,1,"CDC Asterix AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,22,143,143,152,175,"It17",4.29824561403509,0.006993,121,32,11.2,10.8,142.694524121323
1305,1,"CDC Asterix AGL","1","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,49,49,68,96,"Ro16",3.5,0.020408,41,47,17.2,16.1,50.9068426097734
1551,1,"CDC Asterix AGL","2","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,44,44,71,96,"Ro16",2.25,0.022727,36,52,17.2,16.1,50.9068426097734
1908,1,"CDC Asterix AGL","3","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,48,48,64,96,"Ro16",3.25,0.020833,40,48,17.2,16.1,50.9068426097734
6454,1,"CDC Asterix AGL","2","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,49,49,62,80,"Ro17",3.78260869565217,0.020408,40,31,17.5,16.4,49.1616986991945
6207,1,"CDC Asterix AGL","1","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,49,49,61,NA,"Ro17",3.78260869565217,0.020408,40,NA,17.5,16.4,49.1616986991945
6826,1,"CDC Asterix AGL","3","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,48,48,61,NA,"Ro17",3.60869565217391,0.020833,39,NA,17.5,16.4,49.1616986991945
3900,1,"CDC Asterix AGL","3","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,27,122,122,139,145,"Ne16",3.82105263157895,0.008197,95,23,19.2,11,89.4705854897522
2196,1,"CDC Asterix AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,28,133,133,151,159,"Ne17",4.30275229357798,0.007519,105,26,19.4,10.8,91.8607882385664
2485,1,"CDC Asterix AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,23,124,124,144,153,"Ne17",3.97247706422018,0.008065,101,29,19.4,10.8,91.8607882385664
2814,1,"CDC Asterix AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,24,127,127,148,156,"Ne17",4.08256880733945,0.007874,103,29,19.4,10.8,91.8607882385664
