"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Rosthern, Canada 2016",47,0.0213226666666667,17.2,16.1,50.4488217370734
"Rosthern, Canada 2017",48.6666666666667,0.0205496666666667,17.5,16.4,48.6625898230304
"Sutherland, Canada 2016",53.6666666666667,0.0186353333333333,16.7,15.9,51.998446788214
"Sutherland, Canada 2017",54.6666666666667,0.0183023333333333,15.7,16.1,51.8301980029644
"Sutherland, Canada 2018",48,0.0208513333333333,17.6,16.1,50.0928027291172
"Central Ferry, USA 2018",61,0.016398,15.8,14.3,64.1134195988421
"Bhopal, India 2016",NA,0.011628,17.6,10.9,108.90072361665
"Bhopal, India 2017",77.5,0.0129685,20.6,10.7,101.78486414491
"Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,107.209168268751
"Jessore, Bangladesh 2017",92.3333333333333,0.010834,21.7,11,92.3020121838656
"Bardiya, Nepal 2016",123,0.00813066666666667,19.2,11,100.46712085964
"Bardiya, Nepal 2017",128,0.00781933333333333,19.4,10.8,104.065648863531
"Cordoba, Spain 2016",123.666666666667,0.00809233333333333,12.5,10.9,135.382742020529
"Cordoba, Spain 2017",133,0.00751933333333333,11.7,11.1,132.990513343381
"Marchouch, Morocco 2016",130,0.007692,12,10.8,142.794844770304
"Marchouch, Morocco 2017",123.666666666667,0.00808666666666667,11.8,11.5,119.277585663163
"Metaponto, Italy 2016",136.666666666667,0.007325,10.6,10.9,148.869565152963
"Metaponto, Italy 2017",144.333333333333,0.00692866666666667,11.2,10.8,148.780839871265
"Rosthern, Canada 2016",52.3333333333333,0.01911,17.2,16.1,52.7268168314863
"Rosthern, Canada 2017",51,0.019608,17.5,16.4,50.999592003264
"Sutherland, Canada 2016",57.3333333333333,0.01745,16.7,15.9,54.2733544044775
"Sutherland, Canada 2017",59,0.016962,15.7,16.1,54.3343123920767
"Sutherland, Canada 2018",50,0.02,17.6,16.1,52.3140897068497
"Central Ferry, USA 2018",68,0.014719,15.8,14.3,65.5248028785322
"Bhopal, India 2016",77,0.013129,17.6,10.9,100.735902275571
"Bhopal, India 2017",75,0.013333,20.6,10.7,93.4950045026971
"Jessore, Bangladesh 2016",89,0.011237,18.6,10.8,98.7720849072715
"Jessore, Bangladesh 2017",86,0.0116373333333333,21.7,11,85.9303391384052
"Bardiya, Nepal 2016",124.5,0.0080355,19.2,11,93.4390944055502
"Bardiya, Nepal 2017",123.333333333333,0.00810966666666667,19.4,10.8,95.9363844724437
"Cordoba, Spain 2016",118.666666666667,0.008427,12.5,10.9,124.70086222803
"Cordoba, Spain 2017",124,0.00807333333333333,11.7,11.1,123.864574731627
"Marchouch, Morocco 2016",128,0.007812,12,10.8,130.625782828273
"Marchouch, Morocco 2017",118,0.00847566666666667,11.8,11.5,113.410349831066
"Metaponto, Italy 2016",128,0.007812,10.6,10.9,136.827770797259
"Metaponto, Italy 2017",138.5,0.00722,11.2,10.8,135.939740925274
"Rosthern, Canada 2016",54.3333333333333,0.0184066666666667,17.2,16.1,54.4680564519624
"Rosthern, Canada 2017",52.6666666666667,0.018989,17.5,16.4,52.6620675127705
"Sutherland, Canada 2016",59,0.0169593333333333,16.7,15.9,56.1048730129341
"Sutherland, Canada 2017",60.6666666666667,0.0164843333333333,15.7,16.1,56.2429767133922
"Sutherland, Canada 2018",54.6666666666667,0.0183103333333333,17.6,16.1,54.0135064613732
"Central Ferry, USA 2018",71.5,0.0139925,15.8,14.3,67.8601190424549
"Bhopal, India 2016",NA,0.011628,17.6,10.9,104.068056857674
"Bhopal, India 2017",NA,0.011765,20.6,10.7,95.9197805581704
"Jessore, Bangladesh 2016",90.6666666666667,0.0110296666666667,18.6,10.8,101.790407395873
"Jessore, Bangladesh 2017",88,0.011364,21.7,11,87.9971840901091
"Bardiya, Nepal 2016",122.333333333333,0.00817466666666667,19.2,11,96.1690559388188
"Bardiya, Nepal 2017",125.333333333333,0.00798333333333333,19.4,10.8,98.6863389539789
"Cordoba, Spain 2016",120,0.00834966666666667,12.5,10.9,130.904084490842
"Cordoba, Spain 2017",130.333333333333,0.00767266666666667,11.7,11.1,130.33278303936
"Marchouch, Morocco 2016",129.333333333333,0.007732,12,10.8,137.460708698464
"Marchouch, Morocco 2017",127,0.007874,11.8,11.5,119.100414430764
"Metaponto, Italy 2016",134,0.007463,10.6,10.9,144.816489965593
"Metaponto, Italy 2017",145.666666666667,0.006865,11.2,10.8,143.558534197167
"Rosthern, Canada 2016",50.6666666666667,0.0197586666666667,17.2,16.1,52.3545654808019
"Rosthern, Canada 2017",50.6666666666667,0.019749,17.5,16.4,50.6354752139349
"Sutherland, Canada 2016",56,0.017857,16.7,15.9,53.9619107466102
"Sutherland, Canada 2017",56.6666666666667,0.0176516666666667,15.7,16.1,54.2965130754982
"Sutherland, Canada 2018",50,0.02,17.6,16.1,51.8599514815535
"Central Ferry, USA 2018",59.6666666666667,0.0167766666666667,15.8,14.3,64.9692873800829
"Bhopal, India 2016",NA,0.011628,17.6,10.9,96.0541138544578
"Bhopal, India 2017",68,0.014706,20.6,10.7,87.4442688988627
"Jessore, Bangladesh 2016",85.6666666666667,0.0116756666666667,18.6,10.8,93.4962797711621
"Jessore, Bangladesh 2017",80.3333333333333,0.0124486666666667,21.7,11,80.3298880736893
"Bardiya, Nepal 2016",118,0.008507,19.2,11,88.4165744982276
"Bardiya, Nepal 2017",121,0.00827033333333333,19.4,10.8,90.4162798938826
"Cordoba, Spain 2016",111,0.00901066666666667,12.5,10.9,123.638197252629
"Cordoba, Spain 2017",124,0.008065,11.7,11.1,123.992560446373
"Marchouch, Morocco 2016",119.666666666667,0.00835666666666667,12,10.8,130.04260023747
"Marchouch, Morocco 2017",116.333333333333,0.00859666666666667,11.8,11.5,113.726867586161
"Metaponto, Italy 2016",129.333333333333,0.007735,10.6,10.9,138.450422117456
"Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,136.510471165883
"Rosthern, Canada 2016",49,0.0204136666666667,17.2,16.1,49.3460156338824
"Rosthern, Canada 2017",47.6666666666667,0.020981,17.5,16.4,47.6621705352462
"Sutherland, Canada 2016",51,0.019628,16.7,15.9,50.8101041110855
"Sutherland, Canada 2017",54.3333333333333,0.0184106666666667,15.7,16.1,50.6794958875168
"Sutherland, Canada 2018",47.6666666666667,0.0209873333333333,17.6,16.1,49.0021897857371
"Central Ferry, USA 2018",61,0.0163963333333333,15.8,14.3,62.0670234811319
"Bhopal, India 2016",NA,0.011628,17.6,10.9,101.562910650475
