"Entry","Name","a","b","c","RR","Environments"
2,"CDC Rosie AGL",-0.0175001828808446,0.000921960784313725,0.00132134615384615,0.663781720118096,18
8,"CDC Imax AGL",-0.0207765,0.000709999999999999,0.001865,NA,18
10,"CDC KR-1 AGL",-0.0166377551533434,0.00119692810457516,0.000975641025641026,0.586985811627139,18
11,"CDC LeMay AGL",-0.0185990855957768,0.000753529411764706,0.00162660256410256,0.698515858266529,18
12,"CDC Maxim AGL",-0.0207261447963801,0.00143588235294118,0.00103923076923077,0.53238325532461,18
13,"CDC QG-1 AGL",-0.0186011456762192,0.000728366013071895,0.00160980769230769,NA,18
17,"CDC Robin AGL",-0.0193181930618401,0.000657843137254902,0.00180230769230769,NA,18
18,"CDC Rosebud AGL",-0.0213004369658119,0.00184277777777778,0.000630096153846154,0.583406710605351,18
20,"CDC Rouleau AGL",-0.0178694845399698,0.000685882352941176,0.00163724358974359,0.670180836871523,18
22,"CDC Ruby AGL",-0.0198870878582202,0.00176039215686274,0.000632371794871795,0.616824144849314,18
23,"CDC SB-1 AGL",-0.0246344724736048,0.00151372549019608,0.00131980769230769,0.61226034253489,18
24,"CDC Sedley AGL",-0.0195510494595274,0.00117604575163399,0.00125028846153846,0.603873955148275,18
25,"CDC Vantage AGL",-0.0197397654600302,0.00155078431372549,0.000861923076923077,0.581981505530305,18
26,"CN 105604 AGL",-0.0222392748868778,0.00129882352941176,0.00140596153846154,0.656155017645281,18
27,"CN 105605 AGL",-0.0264984943438914,0.00148117647058824,0.00150557692307692,0.686200178830684,18
28,"CN 105715 AGL",-0.0237580605832076,0.000950065359477124,0.00190448717948718,0.730287019427224,18
29,"CN 105732 AGL",-0.0203632349170437,0.000666470588235294,0.0018973717948718,0.803936595059667,18
30,"CN 105767 AGL",-0.0257302900326797,0.00183133986928104,0.00108708333333333,0.651402463824632,18
31,"CN 105777 AGL",-0.0205615810708899,0.00119647058823529,0.0014600641025641,0.766707718385059,18
32,"CN 105789 AGL",-0.0232301794871795,0.00151666666666667,0.00133769230769231,0.553943869818654,18
33,"CN 105791 AGL",-0.021597892659628,0.00220699346405229,0.000396282051282052,0.702224401147234,18
38,"CN 105895 AGL",-0.0200819076168929,0.00135921568627451,0.00122942307692308,0.668444743106972,18
42,"Crimson AGL",-0.0199189244595274,0.00191771241830065,0.000462371794871795,0.567741718061751,18
43,"DPL 62 AGL",-0.021884161387632,0.00168176470588235,0.0010248717948718,0.634761087306964,18
44,"Eston AGL",-0.0216124340120664,0.000633725490196079,0.00205173076923077,0.735200950510437,18
45,"Gudo AGL",-0.0227717356711915,0.00112764705882353,0.0016376282051282,0.601685392218148,18
48,"IG 1959 AGL",-0.0251120397184515,0.00172640522875817,0.00108461538461538,NA,18
49,"IG 4258 AGL",-0.0185992574157868,0.0010837908496732,0.00142641025641026,0.564297011274285,18
51,"IG 858 AGL",-0.024205584841629,0.00101901960784314,0.00182301282051282,0.701494158121369,18
52,"ILL 10657 AGL",-0.0210463001508295,0.00167823529411765,0.000952051282051282,0.532609231015667,18
53,"ILL 10748 AGL",-0.0184372873303167,0.00167823529411765,0.000712692307692308,0.692647715397756,18
54,"ILL 11547 AGL",-0.0200679066113625,0.00157542483660131,0.000980192307692308,0.627665358292797,18
55,"ILL 11548 AGL",-0.0210929338235294,0.00149009803921569,0.00117208333333333,0.711631416985767,18
56,"ILL 11553 AGL",-0.0196779892533936,0.00167990196078431,0.00084176282051282,0.55866147439611,18
57,"ILL 11555 AGL",-0.0208256978381096,0.00199418300653595,0.00056948717948718,0.619448187609009,18
58,"ILL 11557 AGL",-0.0205677834338864,0.00162771241830065,0.000966089743589744,0.687235483046843,18
59,"ILL 11558 AGL",-0.02051494739819,0.00138460784313725,0.00124003205128205,0.72335038362753,18
61,"ILL 1553 AGL",-0.0246236217948718,0.00146666666666667,0.00137057692307692,0.710700090258287,18
63,"ILL 1983 AGL",-0.02126445173454,0.00108470588235294,0.00154858974358974,0.722877213593364,18
66,"PI 431893 LSP AGL",-0.0218489228255405,0.00161071895424837,0.000946538461538461,0.694544301080275,18
67,"ILL 2507 AGL",-0.0192539123931624,0.00144555555555556,0.00107160256410256,0.572579766627418,18
70,"ILL 3025 AGL",-0.0173217895927602,0.000591764705882353,0.00187346153846154,0.713138429839128,18
72,"ILL 3347 AGL",-0.0194565073529412,0.00145147058823529,0.00106625,0.599648228054704,18
73,"ILL 358 AGL",-0.0221015921317245,0.000831503267973856,0.00190826923076923,0.664641983886184,18
74,"ILL 3597 AGL",-0.0195179906988437,0.000609934640522877,0.00201294871794872,0.72447583060952,18
77,"ILL 4605 AGL",-0.0209547624434389,0.00227941176470588,0.000254230769230769,0.609371645211626,18
79,"ILL 4665 AGL",-0.0210401459276018,0.00125098039215686,0.00130044871794872,0.618604761856517,18
81,"ILL 4768 AGL",-0.0227114700854701,0.00146555555555556,0.00134871794871795,0.507059581881586,18
82,"ILL 4782 AGL",-0.0223146112368024,0.00147019607843137,0.00130698717948718,0.562697415977613,18
84,"ILL 4804 AGL",-0.0224444209401709,0.000577777777777778,0.00221839743589744,NA,18
86,"ILL 4956 AGL",-0.0207247344142785,0.000744575163398693,0.00180442307692308,NA,18
89,"ILL 5209 AGL",-0.0218839856711916,0.000850980392156863,0.00187346153846154,NA,18
90,"ILL 5480 AGL",-0.0183534346405229,0.00066359477124183,0.00169166666666667,0.731985691007351,18
91,"ILL 5639 AGL",-0.0230185455002514,0.00131320261437909,0.00142769230769231,NA,18
